,2021-12-30,今年以来612家公司违规受罚 近两成个股已被风险警示,大众证券报
291,2021-08-17,公牛集团：上半年净利14.2亿元，同比增长76.85%,36氪
292,2021-08-17,公牛集团(603195.SH)：上半年净利增76.85%至14.21亿元,格隆汇
293,2021-08-17,公牛集团半年报：上半年净利14.2亿元 同比增长77%,财联社
294,2021-08-17,公牛集团：上半年净利润同比增长76.85%,Wind
295,2021-08-17,公牛集团：公司600W大功率户外储能电源于今年初上市,每日经济新闻
296,2021-08-17,公牛集团入选 国家产教融合型企业,钢企网
297,2021-08-16,北向资金今日大幅净买入62亿元，低估值消费白马股获追捧,Wind
298,2021-08-16,轻工制造行业周报：中报陆续揭晓 家居个护等细分龙头成长依旧,新浪
299,2021-08-12,公牛集团获得政府补助约2.59亿元,LED在线
300,2021-08-09,公牛集团(603195.SH)于8月6日收到政府补助款2.59亿元,智通财经
301,2021-08-09,天风证券给予公牛集团“买入”评级，目标价238.9元,乐居财经
302,2021-08-09,高瓴资本概念股整体活跃，甘李药业、良品铺子、健帆生物、公牛集团大涨,Wind
303,2021-08-09,公牛集团股价涨5.0% 现报187.34元,乐居财经
304,2021-08-09,天风证券维持公牛集团买入评级，跟踪报告一：从电商数据看公牛的新老业务,每日经济新闻
305,2021-08-09,公牛集团(603195)：从电商数据看公牛的新老业务,新浪
306,2021-08-09,公牛集团：时代孕育企业，公司目前已上市新能源充电枪产品,每日经济新闻
307,2021-08-06,公牛集团股价跌5.4% 现报176.30元,乐居财经
308,2021-08-03,公牛集团：公司充电枪目前主要在电商平台销售，产品将不断升级,每日经济新闻
309,2021-08-03,公牛集团：台风烟花在浙江登陆，对宁波等地带来较为严重的影响，公司已向宁波慈善总会捐赠抗洪救灾物品,每日经济新闻
310,2021-08-03,公牛集团：公司工厂建设正在按计划进行，将陆续投产,每日经济新闻
311,2021-08-02,轻工制造行业周报：英美烟草业绩靓丽 细分龙头安全边际明显,新浪
312,2021-08-02,北向资金7月动向：重点进攻高景气成长制造主线，周期性行业遭抛售,Wind
313,2021-08-02,轻工制造行业周报本周专题：钢琴行业稳中有进 “双减政策”提振行业预期,新浪
314,2021-07-29,轻工行业8月投资策略：市场回撤中静待优质企业安全边际,新浪
315,2021-07-28,【东吴轻工张潇团队】Q2持仓点评：轻工板块延续低配，家具龙头受机构青睐,张潇的轻工消费洞察
316,2021-07-28,轻工制造行业21Q2基金持仓点评：轻工板块延续低配 家具龙头受机构青睐,新浪
317,2021-07-26,轻工制造行业周报：菲莫国际减害产品高增 美国地产景气延续,新浪
318,2021-07-26,家电周报：6月地产竣工提速 关注空调需求拐点,新浪
319,2021-07-26,北上资金重点加仓名单来了！22股连续七周加仓,Wind
320,2021-07-22,家电及相关行业：地产竣工转好 厨电、空调需求受益,新浪
321,2021-07-22,零售、轻工日化行业：6月社零较19年同期+10% 消费持续回暖,新浪
322,2021-07-21,微观流动性跟踪双周报：北上率先转换风格 定价权归属被动转移,新浪
323,2021-07-21,【国金晨讯】政策落地，光伏压延玻璃扩产受控放开；公牛集团深度：核心稳固，笃行致远,国金证券研究所
324,2021-07-20,公牛集团(603195)：核心稳固 笃行致远,国金证券股份有限公司
325,2021-07-20,国金证券：维持公牛集团(603195.SH)“增持”评级 目标价244.8元,智通财经
326,2021-07-19,北向资金今日净买入近44亿元，持续加仓白酒、医药股,Wind
327,2021-07-19,轻工制造行业周报：6月家具出口高增 文具社零靓丽 龙头优势延续,新浪
328,2021-07-19,轻工制造行业周报：分享消费时代健康红利 按摩器具行业前景广阔,新浪
329,2021-07-19,什么情况？北上资金减仓锂茅、药茅、酒茅、免税茅,Wind
330,2021-07-19,轻工造纸行业2021年中报业绩前瞻：家居景气延续 龙头份额提升；左侧布局包装板块,新浪
331,2021-07-15,轻工行业2021年中期策略：存量看分化 新兴观成长,新浪
332,2021-07-13,轻工行业2021年中期投资策略：行业进一步分化 重点关注龙头公司,光大证券
333,2021-07-13,浙江区域股市周报：2亿融资买入浙江龙盛 公牛集团挤进板块市值5强,每日经济新闻
334,2021-07-13,轻工制造行业周报：中报预期催化延续 线上渠道贡献愈加突出,新浪
335,2021-07-12,北向资金今日净买入16.42亿元，新能源股表现分化,Wind
336,2021-07-09,家居｜公牛集团董事曹伟退出 新增ZHOU Wen Chuan为董事,财经网
337,2021-07-09,天风证券：家电新兴品类在低渗透率的前提下仍将维持较高景气度,Wind
338,2021-07-07,公牛集团：公司目前产能利用正常,每日经济新闻
339,2021-07-07,高瓴资本概念股涨势强劲，恩捷股份再创新高,Wind
340,2021-07-06,公牛集团(603195)2021年中报业绩预告点评：质地优良 经营持续提效,新浪
341,2021-07-06,公牛集团(603195)：2021H1归母净利同比预计+62%-93%,新浪
342,2021-07-06,轻工制造行业周报：床垫六月线上数据靓丽 布局中报业绩超预期主线,新浪
343,2021-07-06,家用电器行业2021W27周观点：如何看6月大、小家电消费趋势？,新浪
344,2021-07-05,家居｜公牛集团将于7月9日解除限售股21.55万股,财经网
345,2021-07-05,公牛集团(603195.SH)：21.55万股限制性股票7月9日解锁上市,格隆汇
346,2021-07-05,公牛集团：约21.55万股限售股7月9日解禁，占比0.04% 解禁,每日经济新闻
347,2021-07-05,轻工制造行业周报本周专题：轻工制造行业2021年中报业绩前瞻,新浪
348,2021-07-05,家电及相关行业动态：关注跨界布局 持续看好品牌出海与第三消费品类,新浪
349,2021-07-04,2021年中报业绩预告超预期个股,中信建投证券研究
350,2021-07-04,公牛集团(603195)：业绩增长超预期 巩固龙头地位,光大证券
351,2021-07-04,天风证券维持公牛集团买入评级：产品+渠道正向循环，三大赛道业绩表现亮眼,每日经济新闻
352,2021-07-04,西部证券维持公牛集团增持评级，21年半年度业绩预增点评：21H1业绩超预期，销售渠道变革助力业绩快速增长,每日经济新闻
353,2021-07-04,深度*行业*电力设备与新能源行业7月第1周周报：硅片电池片价格下调,新浪
354,2021-07-03,公牛集团(603195)：Q2盈利能力稳步改善 民用电工龙头强者恒强,新浪
355,2021-07-03,公牛集团(603195)2021年中期业绩预告点评：盈利能力逆势提升 利润超预期增长,新浪
356,2021-07-02,每日财报|宁波银行2020分红10股送5元公牛集团上半年净利润大增至少六成,搜狐
357,2021-07-02,华西证券：公牛集团新业务拓展不及预期风险，维持“买入”评级,乐居财经
358,2021-07-02,公牛集团(603195)：盈利回升 H1净利润预增62%-93%,新浪
359,2021-07-02,最高涨幅达388%！公牛集团等三企发布半年度预增公告,LED在线
360,2021-07-02,华西证券：公牛集团（603195.SH）三大赛道精耕细作，上半年业绩靓丽，维持“买入”评级,智通财经
361,2021-07-02,宁波兄弟的千亿之路：从小作坊到插座界“茅台”,36氪
362,2021-07-02,公牛集团(603195.SH)逆势涨7%上半年净利预增61.74%到92.85%,格隆汇
363,2021-07-02,公牛集团：三大赛道精耕细作，上半年业绩靓丽【华西轻工徐林锋团队】,轻工锋尚
364,2021-07-02,A股早报2021年7月2日星期五,Wind
365,2021-07-02,公牛集团(603195)：盈利能力逆势改善 业绩表现较为优异,新浪
366,2021-07-01,晚间重要公告2021年7月1日星期四,Wind
367,2021-07-01,120万股民嗨了！两桶油业绩火爆，半年暴赚1200亿！网友：要起飞？,中国基金报
368,2021-07-01,家居｜公牛集团2021年半年度净利润预增 13亿元到15.5亿元,财经网
369,2021-07-01,公牛集团：上半年净利润同比预增61.74%-92.85%,中证网
370,2021-07-01,公牛集团(603195.SH)预计半年度归母净利同比增加61.74%到92.85%,智通财经
371,2021-07-01,公牛集团：上半年净利同比预增62%-93%,e公司
372,2021-07-01,公牛集团(603195.SH)半年度预盈13亿-15.5亿元 同比增加61.74%-92.85%,格隆汇
373,2021-07-01,公牛集团：预计上半年实现净利润13亿元-15.5亿元，同比增加61.74%-92.85%,第一财经
374,2021-07-01,公牛集团：预计上半年净利同比增加62%-93%,财联社
375,2021-07-01,公牛集团：预计上半年净利润同比增长61.74%到92.85%,Wind
376,2021-06-29,家居｜公牛集团拟回购注销限制性股票3.1万股 剩余54.49万股,财经网
377,2021-06-27,【东兴大消费】周观点：关注消费者迭代带来的新赛道和新品牌,微信
378,2021-06-23,家居｜公牛集团回购价格下调到74.13元/股,财经网
379,2021-06-22,公牛集团(603195.SH)：21.8万股限制性股票解除限售条件成就,智通财经
380,2021-06-22,公牛集团(603195.SH)：21.796万股限制性股票可解锁,格隆汇
381,2021-06-21,【东兴大消费】周观点：5月社零总额同比增长12.4%，消费复苏确定性延续,微信
382,2021-06-21,家用电器行业2021W25周观点：如何看清洁电器市场的渗透率？,新浪
383,2021-06-20,轻工制造行业周报：由“618”看电商渠道在家居品销售中重要性,新浪
384,2021-06-18,最高涨幅达30%！近期LED行业涨价情况一览,LED在线
385,2021-06-16,轻工制造行业周报：5月家具出口数据靓丽 看好各版块细分龙头,新浪
386,2021-06-11,浙江区域股市周报：公牛集团跌出板块市值5强 132家机构调研锦浪科技,每日经济新闻
387,2021-06-11,东吴策略·行业风火轮：大众消费复苏 A股港股共振,新浪
388,2021-06-11,浙江7万亿板块出30只十倍股，看行业龙头全名单,Wind
389,2021-06-11,百元股数量达163只，一日增加5只,证券时报网
390,2021-06-10,公牛集团：公司充电枪已在电商平台上市，充电桩产品在加紧研发中，公司将围绕用户需求不断进行技术和产品的迭代创新和升级,每日经济新闻
391,2021-06-08,44家LED照明/显示企业2020年及1Q21业绩解读,LED在线
392,2021-06-08,六大券商周三看好的六大板块,证券之星
393,2021-06-08,公牛集团大涨,新浪
394,2021-06-08,公牛集团2021三季度净利7.85亿元，同比下降1.3%,亿欧网
395,2021-06-08,公牛集团反垄断案正式落地，插座龙头被罚近3亿,亿欧网
396,2021-06-08,千亿市值插座巨头2021上半年营收增长41.5%，净利润增长76.85%,亿欧网
397,2021-06-08,两市百元股数量达159只，科创板股票占38.36%,证券时报网
398,2021-06-08,盘前情报丨两部门发文打造区块链产业发展集聚区，相关企业迎发展机遇（附股）,21世纪经济报道
399,2021-06-07,【东兴大消费】周观点：618大促预售火爆，关注国产品牌和新锐品类,微信
400,2021-06-07,轻工行业周观点：浆跌累库致纸承压 家居龙头激励目标树稳增长预期 维持推荐行业细分龙头,新浪
401,2021-06-07,高瓴资本概念股表现活跃，海正药业、广联达、健康元、公牛、国瓷材料走强,Wind
402,2021-06-07,轻工制造行业周报：浆纸价格淡季承压 长期看木浆基本面仍有支撑,新浪
403,2021-06-04,公牛集团(603195.SH)授出68.75万股限制性股票 授予价为88.15元/股,智通财经
404,2021-06-04,公牛集团向542名激励对象授予6060万元限制性股票,乐居财经
405,2021-06-04,公牛集团(603195.SH)：向542名激励对象授予限制性股票共计68.75万股,格隆汇
406,2021-06-04,申万宏源关键假设表调整与交流精粹：涨价与人民币升值对各行业影响几何？信用债融资下滑反映了什么？,新浪
407,2021-06-02,公牛集团大跌 连续下跌,新浪
408,2021-06-02,高瓴资本概念股多数回调，公牛集团、广联达、国瓷材料、良品铺子跌幅居前,Wind
409,2021-06-01,5月这5家上市公司遭立案调查公牛集团、易见股份在列 其他违规处罚,第一财经
410,2021-06-01,轻工制造行业周报：家居需求旺盛依旧 消费成长策略延续,新浪
411,2021-06-01,高瓴资本概念股纷纷上扬，健帆生物、公牛、泰格、广联达、凯莱英涨幅居前,Wind
412,2021-05-31,轻工制造行业周报：原材料涨价持续 定制龙头抗冲击能力凸显,新浪
413,2021-05-31,轻工行业6月投资策略：电子烟行业短期仍以政策落地为核心关切,新浪
414,2021-05-30,多只智能家居概念股获社保基金和QFII青睐,证券时报网
415,2021-05-30,晨光文具(603899)深度报告系列一：线下渠道铸就护城河 文创巨头强者恒强,新浪
416,2021-05-30,黄金赛道10倍牛股诞生，高增长潜力股名单来了,第一财经
417,2021-05-30,公私募大咖集体出手 “疯狂的石头”遭哄抢！,网易
418,2021-05-30,智能家居国内市场规模将突破1900亿 潜力股名单来了,证券时报网
419,2021-05-28,7成公司预喜！下周16家高送转、43家高派现,Wind
420,2021-05-27,公牛集团(603195.SH)于6月3日每股派发现金红利2元,智通财经
421,2021-05-27,突遭反垄断调查 被阮氏“拴住”的公牛集团还能继续狂奔吗？,GPLP犀牛财经
422,2021-05-27,公牛集团：公司设有海外事业部负责海外业务,每日经济新闻
423,2021-05-26,浆价期现齐跌 废纸系降价去库成效初显 可关注个股推荐,腾讯网
424,2021-05-25,【银河轻工李昂/甄唯萱/章鹏】行业周报丨浆价期现齐跌，废纸系降价去库成效初显已企稳回升，维持推荐行业细分龙头,中国银河证券研究
425,2021-05-24,创益通：公司与特斯拉没有业务合作关系，公司的主要客户包括晟碟（西部数据）、莫仕、公牛集团、安克创新、星科金朋、埃梯梯等国内外知名公司,每日经济新闻
426,2021-05-24,5月24日晚间重要行业研究汇总(附股),中金在线
427,2021-05-24,中国银河维持轻工行业推荐评级：浆价期现齐跌，废纸系降价去库成效初显已企稳回升，维持推荐行业细分龙头,每日经济新闻
428,2021-05-24,轻工制造行业双周报：板块持续回调 龙头蓄力待发,华福证券有限责任公司
429,2021-05-24,轻工制造行业周报：定制家居渠道变革持续 整装加速企业分化,新浪
430,2021-05-22,“插座一哥”公牛集团涉“垄断门”遭立案调查 其他违规处罚,新浪
431,2021-05-22,遭遇反垄断调查 公牛集团渠道优势恐成垄断法门 其他违规处罚,中国网
432,2021-05-20,“反垄断”落锤不止 “插座一哥”公牛集团还能高枕无忧吗？,新浪
433,2021-05-20,晨会聚焦210520重点关注钢铁、欧派家居、江山欧派、公牛集团,国信研究
434,2021-05-20,24股获券商买入评级 博通集成目标涨幅达39.13%,Wind
435,2021-05-19,国家电网再提新型电力系统 这几条投资主线值得关注丨牛熊眼,第一财经
436,2021-05-19,公牛集团(603195)2020年报2021年一季报点评：产品结构优化 盈利质量更上层楼,新浪
437,2021-05-19,国信证券维持公牛集团买入评级，2020年报&2021年一季报点评：多线并进，平台化可期,每日经济新闻
438,2021-05-19,国信证券：公牛集团（603195.SH）看好龙头优势，维持“买入”评级,智通财经
439,2021-05-18,高瓴资本概念股涨跌不一，公牛集团涨势强劲,Wind
440,2021-05-18,国海证券--家用电器行业周报：原材料持续涨价，龙头通过优化产品结构并调价妥善应对【行业研究】,金融界股吧
441,2021-05-18,新财富500富人榜：家居行业首富易主，姚良松位居第二！,和讯
442,2021-05-17,"高瓴资本最新A股持仓标的,从行业来看，依然看好新能源、医药以及消费等领域",新浪
443,2021-05-17,公牛集团盈利原地踏步，正泰电器4亿现金扛380亿债|年报对比⑩,乐居财经
444,2021-05-17,东方证券维持公牛集团增持评级：产品矩阵持续丰富，盈利能力稳步改善,每日经济新闻
445,2021-05-17,东方证券：公牛集团（603195.SH）产品、品牌、渠道优势持续彰显，目标价201.66元，维持“增持”评级,智通财经
446,2021-05-17,再被教育！零容忍发威，违规公司风险监控,Wind
447,2021-05-17,公牛集团回应遭反垄断调查：积极配合，生产经营正常 其他违规处罚,中新经纬
448,2021-05-17,公牛集团大涨,新浪
449,2021-05-17,创始人2万资金赚下千亿身价插座巨头回应反垄断调查 关联方问题,快科技
450,2021-05-17,公牛集团：目前生产经营一切正常 将努力加快产品的研发上市进度,e公司
451,2021-05-17,公牛集团因涉嫌实施垄断行为被立案调查 要求经销商专营专销 其他违规处罚,GPLP犀牛财经
452,2021-05-17,反垄断调查将成常态，让超级企业从野马变成良马,吴晓波频道
453,2021-05-17,“插座大王”被反垄断调查 公牛还“牛”吗？ 其他违规处罚,中新网
454,2021-05-15,公牛集团遭垄断调查仍在发酵 “护城河”成色受质疑 其他违规处罚,财富动力网
455,2021-05-14,2分钟读财报|“插座茅”公牛遭反垄断调查 释放重要信号 其他违规处罚,新浪
456,2021-05-14,“插座一哥”公牛电器为何遭反垄断调查？问题出在“专营专销”上 其他违规处罚,新浪
457,2021-05-14,公牛集团年营收百亿：增长停滞 还遭高瓴减持 盈利能力下降,亿邦动力
458,2021-05-14,"涉嫌垄断被调查,“插座大王”公牛集团市值一天缩水53亿 其他违规处罚",华夏时报
459,2021-05-14,遭反垄断调查、股价大跌近5%，公牛集团做了什么？ 其他违规处罚,财经网
460,2021-05-14,千亿巨头涉垄断被调查，或与强势“经销商买断式销售”有关 其他违规处罚,南都报
461,2021-05-14,财经早报：监管部门已经对多只近期炒作股票重点关注,新浪
462,2021-05-14,公牛集团涉垄断被立案调查 市值超千亿拥庞大销售网络 其他违规处罚,长江商报
463,2021-05-14,恒大汽车折让20%出售股权，牧原股份董事长被约谈|财经日日评 资产异常,吴晓波频道
464,2021-05-14,“反垄断”监管落锤公牛集团 股价下跌4.62%,证券日报
465,2021-05-14,“反垄断”监管落锤公牛集团 专家建议企业建立有效合规管理体系,证券日报
466,2021-05-14,操纵市场价格的公牛，接受反垄断调查并不冤，但阴谋论却绝不可取 其他违规处罚,电科技
467,2021-05-13,公牛集团遭反垄断立案调查 投资人炸开了锅 其他违规处罚,每日经济新闻
468,2021-05-13,公牛被调查！高瓴、社保基金中招！不好整 其他违规处罚,和讯
469,2021-05-13,“插座一哥”公牛集团被反垄断调查，经销模式是导火索？ 其他违规处罚,新京报
470,2021-05-13,公牛集团涉垄断被查，掀起阮立平家族关联交易“冰山一角”,乐居财经
471,2021-05-13,公牛集团到底“垄断”了吗？,新浪
472,2021-05-13,公牛集团遭反垄断调查：掌控百万经销商，警惕纵向垄断协议风险,21世纪经济报道
473,2021-05-13,公牛集团涉嫌垄断被立案调查！股价逼近跌停，高瓴、社保基金等是大股东 董监高成员异常事件,中国房地产网
474,2021-05-13,公牛集团被反垄断调查 业内人士：或源于经销商举报 限定区域最低价 其他违规处罚,财联社
475,2021-05-13,涉嫌垄断！浙江市监局对公牛集团立案调查 其他违规处罚,驱动中国
476,2021-05-13,涉嫌垄断被调查，公牛回应：将积极配合 其他违规处罚,观察者网
477,2021-05-13,公牛集团涉反垄断被查 许鸣鸣：监管重锤持续落下 有利于市场公平公正,第一财经
478,2021-05-13,公牛集团最新回应，一季度高瓴减持276.90万股 减持股份,资本邦
479,2021-05-13,每经15点 | 我国脱发人数超2.5亿，年轻人脱发年龄提前了20年；沪指收跌近1%，资源股全线重挫，北上资金净流出56亿元,每日经济新闻
480,2021-05-13,公牛集团登陆上交所 市值超千亿,北京日报
481,2021-05-13,市场要闻丨“插座茅”公牛集团被反垄断调查，高瓴资本是第四大股东,36氪
482,2021-05-13,A股第一家！“插座一哥”遇反垄断调查，暴跌9%，高毅、瑞银踩雷 连续下跌,搜狐
483,2021-05-13,资本动态 | 利空来袭！浓眉大眼的“插座大王”也被反垄断调查了，盘中一度逼近跌停 其他违规处罚,财经网
484,2021-05-13,公牛集团：公司经营未受影响此前股价回调与调查无关 其他违规处罚,第一财经
485,2021-05-13,遭遇反垄断调查，千亿市值“插座茅”股价一度暴跌超7% 其他违规处罚,上游新闻
486,2021-05-13,“插座一哥”公牛集团遭反垄断调查 浙江市监局：据举报和总局交办进行立案调查 诉讼纠纷,每日经济新闻
487,2021-05-13,黑色系集体重挫，铁矿石跌6%，千亿白马逼近跌停,Wind
488,2021-05-13,公牛集团股价大跌，此前因涉嫌实施垄断协议被立案调查 连续下跌,澎湃新闻
489,2021-05-13,A股反垄断第一枪，“插座大王”盘中逼近跌停，社保踩雷！北向资金增仓榜出炉,搜狐
490,2021-05-13,涉嫌垄断，A股“插座大王”遭立案调查，市值已超千亿丨一只热股 其他违规处罚,第一财经
491,2021-05-13,千亿“插座茅”涉嫌反垄断遭立案调查，高瓴、高毅双双踩雷 其他违规处罚,环球老虎财经
492,2021-05-13,"""插座茅""公牛集团被反垄断调查 早盘大跌近8% 其他违规处罚",新浪
493,2021-05-13,公牛集团涉嫌垄断被调查，2020年公司营收能过百亿 其他违规处罚,资本邦
494,2021-05-13,昨夜今晨：公牛接受反垄断调查 特斯拉暂停比特币支付 货拉拉筹备造车 其他违规处罚,驱动中国
495,2021-05-13,开盘：A股三大股指低开沪指跌0.88%，公牛集团遭反垄断调查股价跌7.74％ 其他违规处罚,金融界
496,2021-05-13,“插座大王”被反垄断调查，公牛还“牛”吗？ 其他违规处罚,中新网
497,2021-05-13,A股异动：公牛集团跌超5%，遭反垄断调查 其他违规处罚,证券之星
498,2021-05-13,大公司早报｜京东物流下周启动招股 阿里副总裁范驰离职,观察者网
499,2021-05-13,公牛集团涉嫌垄断被调查 市值曾超1500亿 其他违规处罚,亿邦动力
500,2021-05-13,“插座茅”涉嫌垄断被调查 公牛集团开盘跌近8% 其他违规处罚,中新经纬
501,2021-05-13,"快讯：涉嫌垄断被立案调查 ""插座茅""公牛集团早盘大跌近8% 其他违规处罚",新浪
502,2021-05-13,涉嫌垄断被立案调查 公牛集团开盘跌超7% 其他违规处罚,e公司
503,2021-05-13,公牛集团低开逾7%，公司涉嫌实施垄断协议行为被立案调查,Wind
504,2021-05-13,今天股市行情最新消息 今日股市新闻（5月13日）,至诚财经
505,2021-05-13,华为一审“败”于纯文字商标鸿蒙；卫龙辣条“辣”向港交所；公牛集团涉嫌垄断被立案调查；百威打响啤酒涨价第一枪,每经头条
506,2021-05-13,千亿市值“插座大王”被反垄断调查！ 其他违规处罚,中国经济网
507,2021-05-13,犀牛财经早报：公牛集团涉嫌垄断被调查*ST众泰被暂缓投资,GPLP犀牛财经
508,2021-05-13,5月13日盘前重要公司新闻,上证报
509,2021-05-13,“插座大王”突然被调查涉及垄断：官方不淡定了！ 其他违规处罚,快科技
510,2021-05-13,公牛集团被反垄断调查：生产经营正常、积极配合调查 其他违规处罚,和讯
511,2021-05-13,盘前必读丨北向资金批量抢筹白酒股，公牛集团涉嫌垄断被立案调查,第一财经
512,2021-05-13,股海导航 5月13日沪深股市公告提示,新浪
513,2021-05-13,千亿大白马遭反垄断调查，高瓴社保踩雷！紧急回应来了,Wind
514,2021-05-13,“插座大王”公牛集团遭反垄断调查 其他违规处罚,上证报
515,2021-05-13,千亿大白马公牛集团遭反垄断调查、股民炸锅 紧急回应来了 其他违规处罚,证券时报网
516,2021-05-13,公牛集团遭反垄断调查 连续两年营收过百亿 其他违规处罚,全景网
517,2021-05-13,突发利空！千亿大白马遭反垄断调查，高瓴社保QFII也踩雷！股民炸锅：完犊子了！紧急回应来了 其他违规处罚,中国基金报
518,2021-05-13,“反垄断”监管落锤公牛集团 高瓴社保QFII也踩雷 紧急回应来了,中国基金报
519,2021-05-13,公牛集团涉嫌垄断被调查:经销商实为家族成员？募资扩产产品销量下滑 产品问题,腾讯网
520,2021-05-12,千亿市值“插座茅”被反垄断调查！高瓴、社保基金踩雷 其他违规处罚,Wind
521,2021-05-12,千亿市值“插座茅”被反垄断调查！高瓴、社保基金踩雷，公司火线回应 其他违规处罚,中证报
522,2021-05-12,高瓴也“中招”了！千亿A股“插座龙头”遭反垄断调查回应称将积极配合 其他违规处罚,财联社
523,2021-05-12,公牛集团涉嫌垄断被调查，回应目前生产经营正常 其他违规处罚,奥一网
524,2021-05-12,涉嫌垄断？A股千亿插座龙头公牛集团遭立案调查 其他违规处罚,Ofweek
525,2021-05-12,一年营收100亿 “插座一哥”公牛涉嫌垄断被调查 其他违规处罚,快科技
526,2021-05-12,重磅突发：A股千亿插座龙头公牛股份遭反垄断调查 高瓴资本是第4大股东 其他违规处罚,e公司
527,2021-05-12,公告精选：公牛集团涉嫌实施垄断被立案调查；凯迪股份收到上海蔚来汽车零件定点通知,e公司
528,2021-05-12,公告精选：公牛集团涉嫌实施垄断被立案调查；国科微与华为及海思没有合作,e公司
529,2021-05-12,晚间重要公告2021年5月12日星期三,Wind
530,2021-05-12,家居｜公牛集团涉嫌反垄断 被监管立案调查 其他违规处罚,财经网
531,2021-05-12,A股反垄断第一枪：公牛集团涉嫌垄断遭立案调查 转换器曾占天猫66%份额 其他违规处罚,科技新闻网
532,2021-05-12,“插座大王”公牛集团被反垄断调查，市值超千亿 其他违规处罚,中国经济网
533,2021-05-12,公牛集团涉嫌实施垄断被立案调查，回应：积极配合调查 其他违规处罚,第一财经
534,2021-05-12,公牛集团(603195.SH)涉嫌与交易相对人达成并实施垄断协议行为遭立案调查 其他违规处罚,智通财经
535,2021-05-12,晚间公告｜5月12日这些公告有看头,第一财经
536,2021-05-12,【公告抢先看】晚间重要公告：公牛集团因涉嫌实施垄断协议行为立案调查、奥园美谷目前医美业务未产生收入,金融界
537,2021-05-12,公牛集团涉嫌垄断被立案调查，股价收跌2.33% 其他违规处罚,乐居财经
538,2021-05-12,中国最低调的行业冠军：一年净利超过99%的制造企业,I黑马
539,2021-05-12,公牛集团：收到浙江省市场监督管理局垄断案件立案调查告知函 其他违规处罚,Wind
540,2021-05-12,公牛集团：浙江省市场监督管理局对公司涉嫌实施垄断协议行为进行立案调查 其他违规处罚,e公司
541,2021-05-10,【东兴大消费】周观点：关注线下复苏带来的增长及结构变化机会,微信
542,2021-05-10,轻工行业周观点：内盘浆价高位震荡 成品纸社库偏高或致顺价不畅 维持推荐行业细分龙头,新浪
543,2021-05-08,高瓴补充“弹药”1160亿！重仓布局3大领域,Wind
544,2021-05-08,公牛集团(603195)2020年报&2021年一季报点评：多层次渠道积极布局 布局智能化全屋解决方案,新浪
545,2021-05-08,轻工制造行业2020年报与2021年一季报总结：2020年至暗已过 2021年开局良好,新浪
546,2021-05-08,公牛集团(603195)年报&Q1点评：营销+制造+管理能力继续强化 21Q1重回稳增轨道,新浪
547,2021-05-07,高瓴资本概念股纷纷调整，良品铺子、凯莱英、广联达、公牛、泰格跌幅居前,Wind
548,2021-05-07,公牛集团(603195)：定价权强 盈利能力稳定,新浪
549,2021-05-06,公牛集团(603195)：业绩顺利回暖 渠道优势深化中拓展新品类,新浪
550,2021-05-05,公牛集团(603195)：完善搭建产品梯度 降本增效盈利增长亮眼,新浪
551,2021-05-04,【东吴电新】公牛集团：营销+制造+管理能力继续强化，21Q1重回稳增轨道——年报&Q1 点评,新兴产业汇
552,2021-05-01,中国银河证券给予公牛集团推荐评级：核心业务电连接产品增长稳健，21Q1智能电工照明产品销售恢复,每日经济新闻
553,2021-04-30,注册制新股纵览：创益通：国内领先的精密连接器供应商,新浪
554,2021-04-30,西南证券维持公牛集团持有评级：产品布局逐渐完善，渠道优势进一步夯实,每日经济新闻
555,2021-04-30,公牛集团各项业务平稳发展 2020年实现净利23.13亿元,证券日报网
556,2021-04-30,71公司获得增持评级-更新中,中财网
557,2021-04-30,明星私募一季度调仓：冯柳现身25家公司持仓超300亿 高瓴礼仁新进安图生物、伊利,腾讯网
558,2021-04-30,公牛集团(603195)：电工龙头跨越周期 拓品类、新增长,新浪
559,2021-04-30,京东方、公牛集团等六家企业发布一季度报,LED在线
560,2021-04-29,高瓴旗下私募一季度投资动向曝光 减持长城汽车超210万股，新进伊利股份、华大基因、安图生物 减持股份,每日经济新闻
561,2021-04-29,公牛集团(603195)：拥抱变化 经营质量持续提升,新浪
562,2021-04-29,西部证券维持公牛集团增持评级，20年年报及21年一季报点评：业绩符合预期，看好公司未来发展,每日经济新闻
563,2021-04-29,光大证券：公牛集团（603195.SH）品类扩张值得期待，维持“增持”评级,智通财经
564,2021-04-29,公牛集团、福日电子等五家企业2020年业绩一览,LED在线
565,2021-04-29,但斌：半导体给不了高估值 简评豪悦护理、公牛集团,新浪
566,2021-04-29,A股资金流向（4月29日）：大资金涌入券商龙头,Wind
567,2021-04-29,公牛集团(603195)：收入与业绩增速稳健 多维渠道建设加速成型,新浪
568,2021-04-29,高瓴资本爆买，2000亿大白马股价飙升！最强一季报出炉，全年目标营收千亿！百亿私募还买了啥（附持仓名单）,雪球
569,2021-04-29,A股收盘综述：上证指数涨0.52%，医美题材炙手可热,Wind
570,2021-04-29,公牛集团：营收净利润增速跌至1%以下，毛利率下滑 | 年报拆解 盈利能力下降,乐居财经
571,2021-04-29,公牛集团：2020年LED照明收入下滑22% | 年报拆解 盈利能力下降,乐居财经
572,2021-04-29,公牛集团：ROE两连降，投资现金流骤降137% | 年报拆解 运营能力下降,乐居财经
