,2021-12-31,晶盛机电：公司正加快推进第三代半导体材料碳化硅衬底片的产业化布局，已成功生长出6英寸碳化硅晶体,每日经济新闻
454,2021-07-05,晶盛机电：公司目前未涉及晶圆制造,每日经济新闻
455,2021-07-05,晶盛机电：公司的碳化硅长晶炉已成功生长出6英寸碳化硅晶体,Wind
456,2021-07-05,153家公司获机构调研（附名单）,证券之星
457,2021-07-02,调研记录|晶盛机电（300316.SZ）：目前产能能够满足订单需求,智通财经
458,2021-07-02,超86亿外资今日撤离A股，白酒、医药、银行股集体遭抛售,Wind
459,2021-07-02,晶盛机电：一季度新签晶体生长设备等订单超50亿,LED在线
460,2021-07-02,浙商机械 邱世梁||王华君【迈为股份】中报业绩符合预期；GW级量产线再现；期待异质结设备再突破,高端装备制造及材料
461,2021-07-02,浙商机械 邱世梁||王华君【上机数控】硅片降价为常态、促需求提升；具核心竞争力企业盈利有保障,高端装备制造及材料
462,2021-07-01,开源证券：6月金股组合盈利15.76% 7月荐股名单出炉,新浪
463,2021-06-30,7月券商金股名单来了，这些领域被看好！,Wind
464,2021-06-30,开源金股，7月推荐,开源证券研究所
465,2021-06-30,开源晨会0630丨7月金股推荐；宁德时代、金辰股份,开源证券研究所
466,2021-06-29,主力抛售超级热门股！卖出超15亿…… 股票卖空,Wind
467,2021-06-29,晶盛机电(300316.SZ)2020年度权益分派10派1.35元 股权登记日为7月6日,格隆汇
468,2021-06-29,光伏设备重要点评：HJT新玩家加入&产业化加速 持续看好设备龙头,新浪
469,2021-06-29,晶盛机电(300316.SZ)拟10股派1.35元 7月7日除权除息,智通财经
470,2021-06-29,碳中和系列报告之新能源发电篇：新能源助力碳中和 风光平价势如破竹,新浪
471,2021-06-29,晶盛机电现1笔大宗交易 共成交493.99万元,新浪
472,2021-06-29,晶盛机电今日大宗交易成交8.70万股，成交价56.78元溢价16.98%,Wind
473,2021-06-29,先进制造投资周报：5月机器人、机床产量高增 自动化景气持续,新浪
474,2021-06-29,浙商机械 邱世梁||王华君 【金辰股份】首台异质结设备落地晋能：战略意义重大！成长空间打开！,高端装备制造及材料
475,2021-06-28,深度*行业*半导体行业周报：国内半导体多点开花 但龙头开启平台化趋势,新浪
476,2021-06-28,光伏行业2021年中期策略：双碳目标新时代 N型格局定收益,广发证券
477,2021-06-28,机械设备行业周报：多类芯片新需求叠加 半导体设备供不应求,新浪
478,2021-06-28,机械设备行业研究周报：X线探测器赛道坡长雪厚 锂电设备戴维斯双击正当时,新浪
479,2021-06-28,浙商机械 邱世梁||王华君【上机数控】硅片三期10GW点火！扩产速度超预期；颗粒硅将成新增长点！,高端装备制造及材料
480,2021-06-25,北上资金本周200亿扫货，顺周期王者归来，A股稳了？,Wind
481,2021-06-24,浙商大制造 邱世梁|王华君|邓伟【天合光能】深度：引领全球光伏智慧能源；盈利向上拐点渐显、未来弹性大,高端装备制造及新材料
482,2021-06-23,高毅、高瓴等“前脚”走、股价“后脚”“开涨” 芯片行情在高景气度中催化前行,红周刊
483,2021-06-23,33股获券商买入评级，韦尔股份目标涨幅达39.79%,Wind
484,2021-06-22,46股获买入评级 最新:华熙生物,中财网
485,2021-06-22,深度*行业*半导体行业周报：长期看数字化叠加芯片安全 短期看芯片缺货加速国产化,新浪
486,2021-06-22,23股今日获机构买入评级,证券时报网
487,2021-06-22,【国元机械】晶盛机电深度报告：迎硅片扩产顺周期风口，长晶设备龙头扬帆起航,国元高端装备
488,2021-06-22,国元证券：晶盛机电（300316.SZ）硅片端扩产正热，长晶设备龙头有望持续受益，维持“买入”评级,智通财经
489,2021-06-22,解盘：资金再度流入，生物育种、挖掘机、锂电、稀土领涨,Wind
490,2021-06-22,通用机械行业先进制造：拥抱苹果链新一轮设备投资周期,新浪
491,2021-06-22,电力设备行业周报：中汽协预计未来五年中国新能车销量年均增速逾40% 光伏上下游博弈接近尾声,新浪
492,2021-06-22,晶盛机电(300316)：增资中环领先 深化半导体产业布局,广发证券
493,2021-06-21,【新时代先进制造】拥抱苹果链新一轮设备投资周期【周观点0621】,孟话机器人
494,2021-06-21,开源证券维持晶盛机电买入评级，公司点评：增资参股公司中环领先，深化半导体战略布局,每日经济新闻
495,2021-06-21,A股收盘综述：军工、科技热度不减，权重股继续低迷,Wind
496,2021-06-21,快讯：第三代半导体午后异动拉升 晶盛机电涨逾13%,新浪
497,2021-06-21,【行情】第三代半导体板块午后持续拉升，晶盛机电涨超13%，台基股份、富满电子、海特高新跟涨,金十数据
498,2021-06-21,解盘：光伏、半导体、华为HMS领涨,Wind
499,2021-06-21,浙商证券：晶盛机电（300316.SZ）再增资中环领先，期待公司半导体设备再突破，维持“买入”评级,智通财经
500,2021-06-21,A股午盘综述：权重股低迷压制指数，军工、科技保持活跃,Wind
501,2021-06-21,【行情】第三代半导体板块短线拉升，晶盛机电涨超9%，海特高新、东尼电子、富满电子跟涨,金十数据
502,2021-06-21,半导体内部轮动补涨，中环股份涨停,Wind
503,2021-06-21,【太平洋机械】机械行业周报20210620：半导体行业景气较高，看好相关设备表现,太平洋机械大讲堂
504,2021-06-20,中环股份(002129.SZ)拟斥3.9亿元向中环领先增资以提升半导体材料产业市场覆盖率,智通财经
505,2021-06-20,晶盛机电(300316.SZ)拟向参股公司中环领先增资1.3亿元 推动大硅片项目发展,智通财经
506,2021-06-20,机械设备行业跟踪周报：锂电半导体设备稀缺性已现 刀具龙头涨价行业持续高景气,新浪
507,2021-06-20,机械工业行业周报：建议关注光伏新技术发展 电池厂加速扩产下锂电设备景气度持续,新浪
508,2021-06-17,晶盛机电大涨5.41% 换手率1.14%,中新经纬
509,2021-06-17,上机数控(603185)：大硅片+颗粒硅：光伏未来十年十倍增长中战略布局领先者,新浪
510,2021-06-17,浙商机械 邱世梁||王华君【上机数控】大硅片+颗粒硅：光伏未来十年十倍增长中战略布局领先者！,高端装备制造及材料
511,2021-06-16,通用机械行业先进制造：PCB需求持续景气 把握中游设备投资机会,新浪
512,2021-06-16,机械行业周报：新能源成为自动化企业开拓重点,新浪
513,2021-06-16,【新时代先进制造】PCB需求持续景气，把握中游设备投资机会【周观点0614】,孟话机器人
514,2021-06-15,机械行业2021年中期投资策略：沐浴制造复苏 布局产业成长,新浪
515,2021-06-12,白酒股连续异动，疑遭北上资金集中抛售,Wind
516,2021-06-11,【机械】深度研究：半导体设备行业报告：缺芯加速国产替代，半导体设备迎来上升周期,新浪
517,2021-06-11,天风证券：缺芯加速国产替代，半导体设备迎来上升周期,证券时报网
518,2021-06-10,阿里进军无人卡车货运，纺织业迎逆势扩张机会丨明日主题前瞻,第一财经
519,2021-06-10,东吴证券--光伏设备行业点评：华晟量产效率破25%，HJT产业化进程加速【行业研究】,金融界股吧
520,2021-06-10,外资猛加仓！新能源鸿蒙大爆发，万亿巨头大涨7%,Wind
521,2021-06-08,ST板块再掀涨停潮 “妖股”ST岩石继续横行？公募基金最新调研动向曝光！,中金在线
522,2021-06-08,深度*行业*机械设备行业周报：重视万物互联时代下装备制造升级的历史机遇,新浪
523,2021-06-08,"突发，公司实控人被刑拘，事涉四川信托，另有上市公司或涉及“精准减持”遭监管问询。大基金二期再出手，“缺芯”危机下板块近期大涨
减持股份",e公司
524,2021-06-08,大基金二期再出手 “缺芯”危机下板块近期大涨(附股),新浪
525,2021-06-07,机械设备行业：业绩分化 精选个股 盈利能力下降,新浪
526,2021-06-06,【太平洋机械】机械行业周报20210606：光伏SNEC在上海召开，行业新技术持续迭代,太平洋机械大讲堂
527,2021-06-06,机械设备行业周报：泛锂电设备行业持续受益全球电动化浪潮,新浪
528,2021-06-06,电气设备行业周报：新技术推动组件效率进一步提升 新能源车5月销量维持高位,新浪
529,2021-06-05,机械设备行业跟踪周报：光伏电池技术加速迭代利好设备商 美国清洁能源提案推涨锂电需求,新浪
530,2021-06-04,机械设备2021年中期策略：碳中和背景下 深挖业绩突出、需求旺盛的标的,新浪
531,2021-06-04,广发证券：制造业投资景气持续，建议关注具有核心竞争力的细分领域龙头,证券时报网
532,2021-06-03,广发机械“解惑”系列之十五：制造业投资周期性如何演绎？,广发证券
533,2021-06-03,开源证券：5月金股组合盈利14.13% 6月荐股名单出炉,新浪
534,2021-06-02,券商判势｜6月关注“聪明钱”青睐板块,搜狐
535,2021-06-01,高端制造与科技行业2021年中期投资策略：聚焦数字化和进口替代 优选估值与成长匹配的标的,新浪
536,2021-06-01,开源金股，6月推荐,开源证券研究所
537,2021-06-01,光伏设备行业：突破不断 HJT渐行渐近,广发证券
538,2021-05-31,浙商机械 邱世梁||王华君【迈为股份】异质结电池效率突破25%，创量产纪录；光伏异质结行业将提速,高端装备制造及材料
539,2021-05-31,机械设备行业周报：量产HJT技术日趋成熟 关注出口链投资机会,新浪
540,2021-05-30,机械设备行业跟踪周报：机床行业订单饱满持续超预期 宁德时代密集招标利好设备商,新浪
541,2021-05-30,电气设备行业周报：异质结转换效率再创记录 美国电动车补贴政策进一步升级,新浪
542,2021-05-27,Mini LED背光需求有望爆发，相关产业链投资机会正当时？,第一财经
543,2021-05-26,A股收盘综述：上证指数涨0.34%，创业板指跌0.95%,Wind
544,2021-05-26,A股午盘综述：上证指数涨0.29%，创业板指跌逾1%,Wind
545,2021-05-25,浙商机械 邱世梁||王华君【上机数控】拟25亿可转债加码单晶硅扩产；光伏硅片有望“三分天下”,高端装备制造及材料
546,2021-05-25,浙商机械 邱世梁||王华君【上机数控】再签51亿硅料；超265亿元硅料协议及颗粒硅保障供应,高端装备制造及材料
547,2021-05-25,晶盛机电(300316)：2020Q4归母净利润翻倍增长 新业务布局进展顺利,新浪
548,2021-05-25,太平洋--机械行业周报：叉车、工业机器人继续高增长，制造业投资持续超预期【行业研究】,金融界股吧
549,2021-05-25,机械设备行业研究周报：电动汽车电池热管理中的机械机会,新浪
550,2021-05-25,先进制造投资周报：关注“小而美”标的切换成长逻辑后的补涨机会,新浪
551,2021-05-25,电新行业周报：多晶硅料加速上涨 动力电池产销有望持续旺盛,新浪
552,2021-05-25,【天风Morning Call】晨会集萃20210525,天风研究
553,2021-05-24,业绩惊人“八连增”！“卖铲人”晶盛机电：打破国外垄断重构产业格局！,证券时报网
554,2021-05-24,5月24日晚间重要行业研究汇总(附股),中金在线
555,2021-05-24,东吴证券--机械设备行业跟踪周报：工程机械主机厂开启涨价将有效转嫁成本，宁德时代招标加速落地利好锂电设备商【行业研究】,金融界股吧
556,2021-05-24,晶盛机电：企业竞争进入“拼规模”阶段,e公司
557,2021-05-24,晶盛机电：半导体石英坩埚市场份额增长较快,e公司
558,2021-05-24,晶盛机电：五年内成为国际一流半导体材料装备领先企业,e公司
559,2021-05-24,晶盛机电：只跟头部企业做生意 构建了很多壁垒,e公司
560,2021-05-24,晶盛机电：近年开始布局碳化硅业务,e公司
561,2021-05-24,【高管面对面】晶盛机电：技术创新带动多领域开花 助推半导体材料加速国产化,e公司
562,2021-05-24,未来5年最具潜力的4大半导体龙头盘点，半导体国产化替代加速,电子产品世界
563,2021-05-22,“缺芯”调查：中下游电子厂“有单接不了” 4S店进口车延迟交付,Wind
564,2021-05-21,晶盛机电接受8家机构调研！短期主力资金净流入，市场资金早已察觉,每日经济新闻
565,2021-05-21,5月21日晚间重要行业研究汇总(附股),中金在线
566,2021-05-21,方正研究 | 2021年下半年宏观展望&六大行业中期策略报告,新浪
567,2021-05-20,前4月装机容量同比增24% 光伏成未来确定性最强赛道之一丨牛熊眼,第一财经
568,2021-05-20,蓝思科技持续推进垂直整合战略 高比例现金分红回馈全体股东,证券日报网
569,2021-05-20,新能源、环保领域碳中和动态追踪(十二)：风光开发建设通知正式下发 建立长效机制保障新能源长期发展,光大证券
570,2021-05-18,晚间公告｜5月18日这些公告有看头,第一财经
571,2021-05-18,晶盛机电：已实现集成电路8-12英寸半导体长晶炉的量产和批量销售,Wind
572,2021-05-17,光伏股全面回暖，隆基、通威、阳光电源、福莱特、晶盛机电等大涨,Wind
573,2021-05-17,机械设备行业周报：原材料涨价检验经营质地 逢低配置细分龙头,新浪
574,2021-05-13,[路演]晶盛机电：国内光伏行业已进入高速增长期,全景网
575,2021-05-13,25股获券商买入评级 中兴通讯目标涨幅达51.85%,Wind
576,2021-05-13,【东吴晨报0513】【固收】【行业】通信、汽车、银行、零售【个股】晶盛机电、三联虹普,东吴研究所
577,2021-05-12,东吴证券维持晶盛机电买入评级：下游扩产高确定性，半导体设备业务迎来加速期,每日经济新闻
578,2021-05-12,电力设备行业新能源业绩回顾及展望：新能车板块业绩实现高增长 光伏下半年业绩预期向好,新浪
579,2021-05-11,深度*行业*半导体设备行业2021年中期策略：受益全球全面数字化 设备采购周期拉长,新浪
580,2021-05-11,5月11日晚间重要行业研究汇总(附股),中金在线
581,2021-05-11,【国元机械】机械行业2020年年报及2021年一季报总结：高端制造景气度延续，一季度强劲复苏,国元高端装备
582,2021-05-11,天风研究 | 2020年报·2021一季报总结,天风研究
583,2021-05-11,【机械】一季报透视：Q1反弹明显，继续推荐自动化、光伏、半导体、检测等高景气板块,天风研究
584,2021-05-10,平安证券--电力设备行业动态跟踪报告：光伏2020年报总结，高成长，大扩张，优选景气环节【行业研究】,金融界股吧
585,2021-05-10,机械设备行业周报：精选个股 产品周期下优选细分龙头,新浪
586,2021-05-10,机械设备行业：制造业复苏深化 机械行业营收、业绩趋势向好,新浪
587,2021-05-10,【太平洋机械】机械行业周报20210509：服务机器人企业业绩亮眼，看好龙头企业持续成长,太平洋机械大讲堂
588,2021-05-10,【机械】半导体设备之晶盛机电— 订单大幅增长，半导体硅片生长加工设备逐步实现国产化突破,中银证券研究
589,2021-05-07,机械设备行业20Q4及21Q1总结：统与新兴共舞 专用与通用齐飞,广发证券
590,2021-05-07,申港证券维持晶盛机电买入评级：不惧疫情干扰盈利能力持续向好,每日经济新闻
591,2021-05-07,电力设备行业第18周周报：政治局会议强调发展新能源 上游原材料价格继续上涨,新浪
592,2021-05-07,申港证券：晶盛机电（300316.SZ）2021Q1业绩符合预期，维持“买入”评级,智通财经
593,2021-05-06,国联证券给予晶盛机电增持评级：业绩增长符合预期，在手订单104.5亿,每日经济新闻
594,2021-05-06,银河证券：4月金股组合盈利4.06% 5月荐股名单出炉,新浪
595,2021-05-01,开源证券：市场结构类似2016年的新旧交替(附5月金股),开源证券
596,2021-05-01,开源金股，5月推荐,开源证券研究所
597,2021-05-01,浙商机械 邱世梁||王华君 【金辰股份】一季报业绩高增长，期待光伏异质结设备获突破,高端装备制造及材料
598,2021-04-29,晶盛机电涨1.68%报38.12元 创近1个月新高,中新经纬
599,2021-04-29,浙商机械 邱世梁||王华君 【晶盛机电】业绩提速：在手订单超百亿、一季度新签订单超50亿元超预期,高端装备制造及材料
600,2021-04-28,晶盛机电(300316.SZ)一季度归母净利同比增109.71%至2.82亿元,智通财经
601,2021-04-28,晶盛机电：一季度净利润同比增长109.71%,Wind
602,2021-04-28,晶盛机电(300316)：新签订单大幅增长 半导体设备持续突破,广发证券
603,2021-04-28,晶盛机电(300316)2020年年报点评：业绩符合预期 订单持续高增,新浪
604,2021-04-27,晶盛机电(300316)：光伏高景气驱动业绩 精益生产提升盈利能力,新浪
605,2021-04-27,浙商机械 邱世梁||王华君【上机数控】业绩超预期！一季报同比增长402%；光伏硅片有望“三分天下”,高端装备制造及材料
606,2021-04-26,西部证券维持晶盛机电买入评级：在手订单充足，保障未来业绩增长,每日经济新闻
607,2021-04-26,国元证券--晶盛机电2020年报点评：盈利能力提升，在手订单充足【公司研究】,金融界股吧
608,2021-04-26,机械设备行业周报：把握行业壁垒与技术变革 甄选高成长赛道龙头,新浪
609,2021-04-26,晶盛机电大涨5.1%，成交2.28亿元,中新经纬
610,2021-04-25,欧普照明、聚飞光电等六企公布2020年业绩，表现如何？,LED在线
611,2021-04-24,浙商机械 邱世梁‖王华君 挖掘机：预计4月销量同比增长约10%，全年增速20%以上,高端装备制造及材料
612,2021-04-24,晶盛机电：2020年计提信用及资产减值损失1.37亿元 资产异常,Wind
613,2021-04-23,晚间重要公告2021年4月23日星期五,Wind
614,2021-04-23,晶盛机电(300316.SZ)2020年度净利润升34.64%至8.58亿元拟10派1.35元,格隆汇
615,2021-04-23,晶盛机电：2020年净利润同比增长34.64%,Wind
616,2021-04-22,能源工作今年的KPI来了，将影响哪些板块？丨火线解读,第一财经
617,2021-04-22,超9成盈利、27家业绩翻番，半导体迎最好时期,Wind
618,2021-04-20,晚间重要公告2021年4月20日星期二,Wind
619,2021-04-20,中晶科技(003026.SZ)：拟向晶盛机电购买八寸晶圆抛光线BCX8-ZJS设备,格隆汇
620,2021-04-20,中晶科技：拟向晶盛机电购买八寸晶圆抛光线BCX8-ZJS设备,格隆汇
621,2021-04-20,光伏概念股发力走高，银星能源涨停，奥特维等大涨,同壁财经
622,2021-04-20,半导体公司一季度业绩集体预增,Wind
623,2021-04-19,晶盛机电今日大宗交易成交35万股，成交价33.5元折价3.82%,Wind
624,2021-04-13,4月13日晚间重要行业研究汇总(附股),中金在线
625,2021-04-12,机械行业周报：电池片扩产及异质结双轮驱动 设备端显着受益,新浪
626,2021-04-12,机械设备行业周报：关注光伏、锂电、检测行业趋势性机会 逢低配置新兴装备龙头,新浪
627,2021-04-09,晶盛机电(300316)：订单高增 出货和验收加速助一季报高增长,新浪
628,2021-04-09,74股获券商买入评级，美亚光电目标涨幅达79.94%,Wind
629,2021-04-08,46公司获得增持评级-更新中,中财网
630,2021-04-08,浙商证券：晶盛机电（300316.SZ）2021年业绩将提速，维持“买入”评级,智通财经
631,2021-04-08,晶盛机电(300316)2020年业绩快报及2021年一季度业绩预告点评：年度快报符合预期 一季度业绩大增,新浪
632,2021-04-08,野村国际(香港)--晶盛机电：年度快报符合预期，一季度业绩大增【公司研究】,金融界股吧
633,2021-04-07,晶盛机电(300316)：行业持续向好 一季度业绩继续保持高增长,广发证券
634,2021-04-07,电力设备与新能源行业报告：官方倡建新型电力系统 2021年新能源汽车下乡活动启动,新浪
635,2021-04-07,东吴证券维持晶盛机电买入评级：Q1业绩超市场预期，21年迎戴维斯双击,每日经济新闻
636,2021-04-07,晶盛机电2020年、2021一季度业绩双报喜,LED在线
637,2021-04-07,【国元机械】晶盛机电业绩点评：长晶设备龙头迎下游扩产，一季度业绩大幅增长,国元高端装备
638,2021-04-07,浙商机械 邱世梁||王华君 【晶盛机电】2021年业绩将提速：光伏、半导体、蓝宝石、碳化硅齐发力,高端装备制造及材料
639,2021-04-07,浙商机械 邱世梁||王华君 【金辰股份】定增获审核通过，期待光伏异质结（HJT）设备获突破,高端装备制造及材料
640,2021-04-07,浙商机械 邱世梁||王华君 【光伏设备】拥抱三大新技术——异质结、大尺寸、颗粒硅,高端装备制造及材料
641,2021-04-06,机械设备：一季报高增品种有哪些,新浪
642,2021-04-06,电气设备行业：小米布局新能源汽车领域 光伏玻璃价格回调,新浪
643,2021-04-06,电力设备行业第14周周报：特斯拉2021Q1交付18.5万辆 隆基正式进军氢能产业,新浪
644,2021-04-06,晚间重要公告2021年4月6日星期二,Wind
645,2021-04-06,晶盛机电(300316.SZ)披露2020年度业绩快报 归母净利同比增长34%至8.54亿元,智通财经
646,2021-04-06,晶盛机电(300316.SZ)一季度净利润预增80%-110%,格隆汇
647,2021-04-06,晶盛机电(300316.SZ)业绩快报：2020年度净利润升34%至8.54亿元,格隆汇
648,2021-04-06,晶盛机电：预计一季度净利润同比增长80%至110%,Wind
649,2021-04-06,晶盛机电：2020年净利润同比增长34%（业绩快报）,Wind
650,2021-04-06,机械设备行业：挖机库存见底预示旺季行情 看好HJT产业体系成长,新浪
651,2021-04-04,开源金股四月推荐；深市主板和中小板合并水到渠成丨一周重点研究报告,开源证券研究所
652,2021-04-03,开源策略：碳中和，中游制造新起点,Wind
653,2021-04-02,中芯国际为留人，送CEO一套2000万住房，更有薪水涨4倍,Wind
654,2021-04-01,开源证券：3月金股组合亏损6.17% 4月荐股名单出炉 亏损,新浪
655,2021-04-01,产业链涨价潮持续，芯片概念股爆发，士兰微等涨停,证券之星
656,2021-04-01,4月金股曝光！券商看好这些股，最高目标价涨超70%,Wind
657,2021-03-31,晶盛机电：目前公司暂无分拆独立上市计划,每日经济新闻
658,2021-03-31,投资策略专题：开源金股 4月推荐,新浪
659,2021-03-31,开源研究：无须持币 不畏将来 专注于两大机遇的挖掘(附4月金股),开源证券
660,2021-03-31,机械行业：工程机械行业见顶了吗？,新浪
661,2021-03-31,【银河晨报】3.31丨石化：油价21Q1大幅上涨，看好行业单季度业绩表现,中国银河证券研究
662,2021-03-30,机械行业周报：制造业研发费用加计扣除比例提升 释放研发及资本开支活力,新浪
663,2021-03-30,中国银河--电子行业：汽车缺芯再发酵，半导体设备需求持续旺盛【行业研究】,金融界股吧
664,2021-03-29,电新行业周报：光伏行业将步入正轨 电车产业链需求高景气有望持续,新浪
665,2021-03-29,机械设备行业：一季度工程机械预计维持高增 关注HJT关键中试线进度,新浪
666,2021-03-29,机械设备行业周报：景气度高企业 建议重点关注一季报有望超预期个股,新浪
667,2021-03-29,机械设备行业周报：“碳中和”下超跌的新能源装备值得关注,新浪
668,2021-03-29,电气设备行业周报：风电全球需求有望稳定增长 电车中游龙头业绩符合预期,新浪
669,2021-03-28,“碳中和”背景下的行业投资机会丨一周重点研究报告,开源证券研究所
670,2021-03-25,光伏长期风口 六大产业链龙头股布局正当时,证券时报
671,2021-03-25,东吴证券--机械设备行业跟踪周报：建议关注景气持续旺盛的机床、估值回落的新能源板块相关标的【行业研究】,金融界股吧
672,2021-03-25,晶盛机电(300316)：晶体生长龙头企业 受益硅片扩产,新浪
673,2021-03-24,西部证券首予晶盛机电买入评级：晶体生长龙头企业，受益硅片扩产，目标价43.70元,每日经济新闻
674,2021-03-23,通用机械行业投资周报：先进制造 自动化、智能化浪潮下 机器视觉加速渗透,新浪
675,2021-03-23,机械设备行业：工程机械景气延续 逢低布局新兴行业龙头,新浪
676,2021-03-23,机械行业：看好“碳中和”浪潮中的“卖水者”,新浪
677,2021-03-23,电力设备行业第12周周报：1-2月份全国新增光伏装机3.25GW 隆基上调4月份硅片价格,新浪
678,2021-03-23,A股全面回暖！聪明资金再度返场，众泰停牌核查,Wind
679,2021-03-22,持有80只A股，市值或达500亿，3张图看清高毅资产持仓情况！,Wind
680,2021-03-22,太平洋--机械行业周报：2月叉车翻倍以上增长，自动化投资需求强劲【行业研究】,金融界股吧
681,2021-03-21,浙商机械 邱世梁||王华君 【光伏设备】异质结：光伏电池新一代技术，推荐三大设备厂商,高端装备制造及材料
682,2021-03-21,【东吴机械陈显帆】周观点：建议关注景气持续旺盛的机床、估值回落的新能源板块相关标的,透视先进制造
683,2021-03-19,风电等可再生能源迎政策礼包，碳中和背景下产业或将爆发,第一财经
684,2021-03-19,多维度解析“碳达峰、碳中和”对机械行业的影响,中信建投证券研究
685,2021-03-18,兴论碳中和系列：拥抱能源革命的强主题,新浪
686,2021-03-16,晶盛机电跌4.02%，领跌电源设备行业,中新经纬
687,2021-03-16,隆基、通威、阳光电源、中环股份、晶盛机电普跌，光伏板块震荡寻底,Wind
688,2021-03-15,浙商机械 邱世梁||王华君【捷佳伟创】深度：光伏电池设备龙头，未来5年持续高成长,高端装备制造及材料
689,2021-03-15,晶盛机电(300316)：下游硅片扩产浪潮将至 长晶设备龙头斩获大额订单,新浪
690,2021-03-15,晶盛机电与中环签订超20亿大单！喜中藏变数 大客户集中度蹿升后核心议价能力是关键,财经网
691,2021-03-15,国元证券：晶盛机电（300316.SZ）单晶硅龙头再签大单，维持“买入”评级,智通财经
692,2021-03-15,机械设备行业研究周报：原材料成本上涨对于机械设备行业影响,新浪
693,2021-03-15,机械设备行业周报：重点关注PEG接近1的优质成长股,新浪
694,2021-03-15,晶盛机电签订20.79亿合同，占2019年营收的66.85%,LED在线
695,2021-03-15,国元证券--晶盛机电：设备需求爆发，单晶龙头再签大单【公司研究】,金融界股吧
696,2021-03-15,晶盛机电：持有半导体大硅片制造企业“中环领先”10%股份,Wind
697,2021-03-15,晶盛机电(300316)事件点评：设备需求爆发 单晶龙头再签大单,新浪
698,2021-03-15,【东吴晨报0315】【策略】【行业】环保、电新【个股】晶盛机电、长春高新、京东集团-SW、中国联通、新钢股份,东吴研究所
699,2021-03-14,晶盛机电 | 点评：与中环签20.8亿光伏设备大单，210大硅片成主流拉长景气周期,透视先进制造
700,2021-03-14,安信证券维持晶盛机电买入-A评级：签订大额订单厚增业绩，携手日企半导体再下一城,每日经济新闻
701,2021-03-13,浙商机械 邱世梁||王华君【晶盛机电】获中环21亿光伏设备大单；2021年业绩将提速,高端装备制造及材料
702,2021-03-13,上市公司正负面新闻2021年3月13日星期六,Wind
703,2021-03-12,公告精选：国金证券澄清被京东收购传闻；晶盛机电签订20.79亿元销售合同,e公司
704,2021-03-12,晚间重要公告2021年3月12日星期五,Wind
705,2021-03-12,晶盛机电(300316.SZ)：近日签订20.79亿元合同,格隆汇
706,2021-03-12,晶盛机电：签订20.79亿元日常经营重大合同,格隆汇
707,2021-03-12,晶盛机电：签订20.8亿元光伏设备销售合同,Wind
708,2021-03-12,深度*行业*半导体设备行业2020年总结：行业强劲增长20% 2021 年持续向好,新浪
709,2021-03-12,晶盛机电子公司与日企合作成立新公司,企查查
710,2021-03-12,晶盛机电：与日本普莱美特合作 打造半导体真空阀门部件国产化基地,e公司
711,2021-03-12,太平洋--最新观点：国际油价上涨、国内政策加码，重点推荐油气装备产业【行业研究】,金融界股吧
712,2021-03-11,国盛证券--机械设备行业深度：技术更新迭代催化光伏设备空间上行【行业研究】,金融界股吧
713,2021-03-11,【朝闻国盛0311】PPI上行会如何演绎，对政策和利率有何影响？,国盛证券研究所
714,2021-03-09,机械行业周报(2021年3月第1周)：关注“两会”3.65万亿元专项债；持续力推工程机械龙头,新浪
715,2021-03-09,机械行业动态：研发费用加计扣除比例提升 利好高端制造业,新浪
716,2021-03-09,浙商机械 邱世梁||王华君【上机数控】复盘与展望：上涨三部曲——做出产品、做好产品、做好业绩！,高端装备制造及新材料
717,2021-03-09,浙商机械 邱世梁||王华君【晶盛机电】半导体设备再加码，光伏设备迎单晶硅大扩产,高端装备制造及新材料
718,2021-03-09,先进制造业：减税、增贷 政策扶持先进制造业扩大设备投资,新浪
719,2021-03-08,A股共发生90宗大宗交易成交14.69亿元（3月8日）,Wind
720,2021-03-08,晶盛机电今日大宗交易成交25.40万股，成交价31.49元折价5.01%,Wind
721,2021-03-08,浙商机械 邱世梁||王华君【上机数控】与大全再签55亿元硅料采购合同，进一步保障硅料供应,高端装备制造及材料
722,2021-03-08,行业动态点评：半导体硅片龙头提价 晶圆产业链景气度持续高位,新浪
723,2021-03-08,半导体硅片大厂上调报价，行业景气度有望持续提升,Wind
724,2021-03-07,【太平洋机械】机械行业周报20210306：国际油价上涨、国内政策加码，重点推荐油气装备产业,太平洋机械大讲堂
725,2021-03-07,浙商机械 邱世梁||王华君【上机数控】硅片涨价大超预期！210大硅片龙头盈利能力有保障,高端装备制造及材料
726,2021-03-05,光伏板块反抽，阳光电源涨超3%,Wind
727,2021-03-04,中银证券--机械设备行业周报：工程机械春节交货旺盛，全球缺芯及数字化背景下半导体设备需求持续强劲【行业研究】,金融界股吧
728,2021-03-03,深度*行业*机械设备行业周报：工程机械春节交货旺盛 全球缺芯及数字化背景下半导体设备需求持续强劲,新浪
729,2021-03-03,东吴证券--机械设备行业跟踪周报：建议重点关注制造业复苏受益标的，宁德时代百亿扩产利好锂电设备供应商【行业研究】,金融界股吧
730,2021-03-02,IGBT龙头再度加码碳化硅赛道 斯达半导定增募资35亿元,e公司
731,2021-03-02,【中信建投电子|刘双锋&雷鸣团队】中芯国际供应商许可证进展超预期，公司ROE有望持续提升,中信建投电子研究
732,2021-03-02,机械行业周报(2021年2月第4周)：预计2月挖掘机销量翻倍以上增长；锂电再推百亿扩产计划,新浪
