,2021-12-29,金发科技：预计2021年第四季度完成年产3万吨PLA合成线的投产,每日经济新闻
285,2021-04-29,规划产能800万吨! 2021年PBAT项目盘点：宜化、恒力、金发、东华、道恩、瑞丰等行业爆发在即！,国家煤化工网
286,2021-04-29,北向资金昨日净买额缩减 减持酿酒行业居首 抛售贵州茅台9.95亿元 减持股份,21世纪经济报道
287,2021-04-28,华西证券：可降解塑料供不应求的市场局面将持续,Wind
288,2021-04-28,金发科技(600143)：业绩符合市场预期 新项目投产顺利有望逐步贡献业绩,新浪
289,2021-04-28,金发科技(600143)：改性塑料和石化业务明显改善 新项目快速推进保持成长,新浪
290,2021-04-28,【华安化工|一季报点评】金发科技：量价齐升，业绩大增，多项目助力公司成长,化工阿尔法
291,2021-04-28,【王牌研报】基金核心抱团池股票名单曝光，外资或重掌A股定价权，中金看好这只票上涨空间72%,新浪
292,2021-04-28,金发科技一季度净利同比增长439%，改性和新材料持续发力,投资家
293,2021-04-27,0428日报/金发科技一季度净利润7.65亿元同比增加438.79%【东北基础化工】,东北基础化工
294,2021-04-27,亮眼！金发科技：2021年第一季度净利润约7.65亿元，同比增加438.79%,每日经济新闻
295,2021-04-27,晚间重要公告2021年4月27日星期二,Wind
296,2021-04-27,改性塑料销售收入增加 金发科技一季度净利增长逾4倍,上证报
297,2021-04-27,晚间公告丨4月27日这些公告有看头,第一财经
298,2021-04-27,金发科技(600143.SH)一季度归母净利同比增438.79%至7.65亿元,智通财经
299,2021-04-27,金发科技(600143.SH)一季度净利润升438.79%至7.65亿元,格隆汇
300,2021-04-27,可降解塑料行业深度报告(一)：政策从限塑行至禁塑 黄金赛道雏形已现,新浪
301,2021-04-27,金发科技：一季度净利7.65亿元 同比增439%,e公司
302,2021-04-27,金发科技：一季度净利润7.64亿元，同比增长438.79%,Wind
303,2021-04-26,基础化工行业周报(第十六周),新浪
304,2021-04-26,首席周观点：外盘是胜负手,新浪
305,2021-04-26,“禁塑令”落地4个月，原材料涨价、企业忙扩产,Wind
306,2021-04-22,碳中和深圳掀热潮！三大板块看2021塑料循环经济行业新趋势,中国能源网china5e
307,2021-04-22,社保、明星基金经理都爱的化工股，Q2还能接着涨吗？,资本邦
308,2021-04-21,首创证券--化工行业周报：顺周期板块持续分化，回归阿尔法主线正当时【行业研究】,金融界股吧
309,2021-04-16,0417日报/华鲁恒升一季度净利润约15.76亿元同比增加266.87%【东北基础化工】,东北基础化工
310,2021-04-14,化工板块表现活跃 机构建议关注两条主线,中财网
311,2021-04-14,浙商证券--化工行业周报：化工一季度业绩靓丽，化工品景气度持续回升【行业研究】,金融界股吧
312,2021-04-14,金发科技产品销售全线飘红 开发抗疫产品新增营收27亿,长江商报
313,2021-04-14,从可降解塑料推涨BDO，看己二酸未来趋势,金融界
314,2021-04-13,4月13日晚间重要行业研究汇总(附股),中金在线
315,2021-04-13,首创证券--化工行业周报：当前时点坚定推荐时间换空间阿尔法品种【行业研究】,金融界股吧
316,2021-04-13,首创证券--市场策略报告：首席周观点，静观其变【投资策略】,金融界股吧
317,2021-04-12,化工周报：钛白粉、醋酸大幅上涨 一季报进入兑现期 关注Q2基本面持续向好的细分龙头,新浪
318,2021-04-12,过半A股公司发布2020年成绩单：全年稳中有增，多行业逆势爆发,Wind
319,2021-04-09,跨界医疗输赢一线,财经网
320,2021-04-09,化工行业周报：化工一季度业绩靓丽 化工品景气度持续回升,新浪
321,2021-04-09,中泰证券：碳中和对于化工行业的影响，主要来自能耗和材料两个方面,Wind
322,2021-04-09,0409日报/三友化工拟投建年产20万吨有机硅扩建工程项目【东北基础化工】,东北基础化工
323,2021-04-08,基础化工/石油天然气行业周报(第十二周),新浪
324,2021-04-08,化工行业深度：碳中和背景下的中国化工,新浪
325,2021-04-08,化工行业周报：顺周期下半场 关注时间换空间阿尔法品种,新浪
326,2021-04-06,石油化工新材料行业北上资金周报,新浪
327,2021-04-06,化工周报：钾肥、甲酸价格上涨 关注Q1业绩反转标的 推荐白马及细分龙头,新浪
328,2021-04-02,金发科技(600143)：全年业绩大增 可降解塑料稳步推进,新浪
329,2021-04-01,金发科技2020年净利润大增268% 可降解塑料业务将迎来春天,证券日报网
330,2021-04-01,国信证券：金发科技(600143.SH)改性塑料与医疗健康板块爆发增长，维持“买入”评级,智通财经
331,2021-04-01,0401日报/中化集团与中国化工实施联合重组【东北基础化工】,东北基础化工
332,2021-03-31,金发科技(600143)：业绩符合市场预期 手套项目加速推进延续公司业绩成长性,新浪
333,2021-03-31,141股今日获机构买入评级30股上涨空间超20%,证券时报网
334,2021-03-31,金发科技(600143.SH)控股股东解除质押2.55亿股,智通财经
335,2021-03-31,【金发科技| 年报点评：业绩符合预期，改性塑料与医疗健康板块爆发增长】-国信证券,化工林谈
336,2021-03-31,国信证券维持金发科技买入评级，2020年年报点评：业绩符合预期，改性塑料与医疗,每日经济新闻
337,2021-03-31,华安证券--金发科技：改性塑料平台公司逐步兑现，可降解塑料市场大展拳脚【公司研究】,金融界股吧
338,2021-03-31,193股获券商买入评级，宇通客车目标涨幅达83.49%,Wind
339,2021-03-30,金发科技(600143)：业绩符合预期 看好可降解塑料及医疗健康板块,新浪
340,2021-03-30,东北证券给予金发科技买入评级，改性优化叠加新材料放量，业务高质量发展,每日经济新闻
341,2021-03-30,金发科技2020年报：分红15亿加快推动新增24万吨PBAT产能建设,投资家
342,2021-03-30,金发科技(600143)：战略规划明确 管理机制升级；公司已经进入成长黄金期,新浪
343,2021-03-30,【华安化工|年报点评】金发科技：改性塑料平台公司逐步兑现，可降解塑料市场大展拳脚,化工阿尔法
344,2021-03-30,首席周观点：蛰伏待机,新浪
345,2021-03-29,金发科技去年净利增长268% 拟每10股派6元,大众证券报
346,2021-03-29,金发科技2020年净利同比增长269% 拟10派6元,上证报
347,2021-03-29,金发科技：2020年净利润约为45.88亿元，同比增长268.64%,每日经济新闻
348,2021-03-29,金发科技(600143.SH)年度归母净利同比增268.64%至45.88亿元 拟10股派6元,智通财经
349,2021-03-29,金发科技(600143.SH)2020年净利升268.64%至45.88亿元 拟10派6元,格隆汇
350,2021-03-29,金发科技：2020年净利45.88亿元 同比增269%,e公司
351,2021-03-29,金发科技：拟对子公司提供最高6.6亿元连带责任保证担保 大额借贷担保,Wind
352,2021-03-29,金发科技：2020年净利润同比增长268.64%,Wind
353,2021-03-29,新材料行业周报：碳中和系列三-PLA引领低碳环保 国内产能大规模布局,新浪
354,2021-03-29,平安证券--化工行业周报：石油公司逐渐加大对新能源的布局【行业研究】,金融界股吧
355,2021-03-25,“碳中和”高烧不退，“伪概念”已炒飞！这一细分领域全面涨价,红周刊
356,2021-03-25,全球领先橡塑高科技展 - CHINAPLAS落户深圳,中国医疗器械信息
357,2021-03-25,金发科技信披违规 董事长袁志敏原董秘宁凯军遭批评 其他违规处罚,中国经济网
358,2021-03-24,10亿美元口罩合同进展信批违规 金发科技时任实控人等被通报批评 金融监管处罚,中新经纬
359,2021-03-24,金发科技：上交所决定对公司及有关责任人予以通报批评 其他违规处罚,Wind
360,2021-03-23,金发科技跌5.89% 股价高点中信证券喊买目标价40.6元,中国经济网
361,2021-03-23,基础化工行业周报(第十一周),新浪
362,2021-03-23,可降解塑料吸管成本高 上市公司争相加注投资,中国报告大厅
363,2021-03-22,首创证券--市场策略报告：首席周观点，反弹依然承压，静静等待机会【投资策略】,金融界股吧
364,2021-03-22,西南证券--化工行业周观点：成本与供需支撑钛白粉、PVC涨至历史高位【行业研究】,金融界股吧
365,2021-03-22,平安证券--化工行业周报：降解塑料将成为拉动BDO需求的重要力量【行业研究】,金融界股吧
366,2021-03-17,IPO探雷|改性塑料大行业中的小公司——聚赛龙,格隆汇
367,2021-03-16,首创证券--市场策略报告：两大隐忧未除，反弹力度有限【投资策略】,金融界股吧
368,2021-03-15,平安证券--化工行业周报：“碳中和”利好石油化工龙头和相关子行业【行业研究】,金融界股吧
369,2021-03-15,化工周度观点21W11：碳中和大背景下的中国化工新时代,新浪
370,2021-03-15,化工行业周报：继续推荐核心资产及低估值高景气标的 关注碳中和受益标的,新浪
371,2021-03-15,石油石化、基础化工、新材料行业北上资金流向周报,新浪
372,2021-03-12,助力常态化抗“疫”！爱心企业向白云机场捐赠200万只口罩,民航资源网
373,2021-03-11,0312日报/卫星石化拟与SKGC公司合作建设乙烯丙烯酸共聚物项目【东北基础化工】,东北基础化工
374,2021-03-10,0311日报/金丹科技2020年净利润1.19亿元同比增长3.07%【东北基础化工】,东北基础化工
375,2021-03-10,史上最严“限塑令”利好可降解行业 纸吸管、可降解吸管量价齐升,新浪
376,2021-03-09,国泰化工龙头ETF投资价值分析：拥抱化工行业景气周期,新浪
377,2021-03-08,化工行业周报：油价新高 继续坚守龙头并增配低估值弹性标的,新浪
378,2021-03-08,专访全国人大代表、金发科技董事长袁志敏：政策将推动可降解塑料市场成熟 要加强原材料产能建设,每日经济新闻
379,2021-03-08,两会声音 | 全国人大代表、金发科技董事长袁志敏：以塑料行业为试点确立行业维度的碳中和目标,经济观察网
380,2021-03-08,西南证券--化工行业周观点：化工钛白粉再次调涨，关注碳中和投资机会【行业研究】,金融界股吧
381,2021-03-08,华安证券--化工行业周报：寻找价格/库存低分位产品，万华推出多种OEM/ODM产品【行业研究】,金融界股吧
382,2021-03-07,【华安化工|化工周报】寻找价格/库存低分位产品，万华推出多种OEM/ODM产品,化工阿尔法
383,2021-03-06,石油化工新材料行业北上资金周报,新浪
384,2021-03-04,"金发科技：“碳中和”利好可降解塑料市场,龙头公司望持续受益",搜狐
385,2021-03-04,全国人大代表、金发科技董事长袁志敏：提早谋划布局迎接“碳达峰、碳中和”重大机遇,上证报
386,2021-03-02,0303日报/中核、金浦、安纳达、天原等上调钛白粉销售价格【东北基础化工】,东北基础化工
387,2021-03-02,金发科技(600143.SH)子公司通过高新技术企业重新认定,格隆汇
388,2021-03-02,化工行业日报：能源及公用事业产业链核心数据跟踪日报,新浪
389,2021-03-01,可降解塑料概念炒作持续发酵，齐翔腾达涨停,Wind
390,2021-03-01,化工行业周报：坚守龙头 建议重点配置低估值周期景气标的,新浪
391,2021-03-01,化工产品迎来史诗级上涨 化工龙头股票有哪些？,至诚财经
392,2021-02-28,石油化工新材料行业北上资金周报,新浪
393,2021-02-26,2020年中国改性塑料行业市场现状、竞争格局及发展趋势分析 下游应用领域不断扩展,前瞻研究院
394,2021-02-25,史上最严“限塑令”来袭，上市公司争相加注，有些值得细品,云掌财经
395,2021-02-25,巴斯夫可降解专利部分无效 彤程新材缘何逆势上涨,时代在线
396,2021-02-24,金发科技：年产400亿只高性能医用及健康防护手套生产建设项目正在按计划有序推进,每日经济新闻
397,2021-02-23,首创证券--化工行业周报：丁辛醇价格跳涨，化工景气持续复苏【行业研究】,金融界股吧
398,2021-02-23,化工行业：涤纶产业链回暖 醋酸价格上涨,新浪
399,2021-02-23,供需缺口明显，化工品迎全面涨价潮,Wind
400,2021-02-21,最强“限塑令”下可降解材料一货难求！这些上市公司加码布局,上证报
401,2021-02-19,资金大调仓！狂抛消费股，外资集体转投这个方向,上证报
402,2021-02-18,2021年第一波，涨价“红包”如期而至,Wind
403,2021-02-18,东吴证券：金发科技(600143.SH)可降解塑料业务迎来春天，首予“买入”评级,智通财经
404,2021-02-17,牛年A股或迎来开门红，哪些板块有望领涨后市？,第一财经
405,2021-02-14,限塑令升级后，奶茶怎么喝？,36氪
406,2021-02-10,金发科技(600143)：材料类平台公司雏形初具 可降解塑料业务迎来春天,新浪
407,2021-02-10,融资客青睐13股，海亮股份买入占比高达52.54%,Wind
408,2021-02-09,A股收盘综述：上证指数涨2%重返3600点,Wind
409,2021-02-09,金发科技：为国家提供高端材料支撑,中国经济周刊
410,2021-02-09,解盘：金融股低迷，稀土、医美、大飞机、新能源领涨,Wind
411,2021-02-09,化工板块出黑马！北上资金和机构猛加仓,证券时报网
412,2021-02-08,大黑马！化工龙头30强名单出炉，北上资金和机构猛加仓,证券时报网
413,2021-02-08,石油石化、基础化工、新材料行业北上资金流向周报,新浪
414,2021-02-08,A股融资融券日报：两融余额减少113.4亿元（2月5日）,Wind
415,2021-02-07,化工行业投资策略周报：化工品涨多跌少 化工龙头股公募持仓提升明显,广发证券
416,2021-02-04,医药生物：一次性手套行业深度：手套生产格局发生大变革 企业迎来价稳量升阶段,新浪
417,2021-02-04,金发科技股票历史最高价是多少？,云掌财经
418,2021-02-04,禁塑新政给市场带来想象空间 产业资本纷纷涌入,证券时报
419,2021-02-04,基础化工行业：化工龙头集体大涨 重申看好,新浪
420,2021-02-04,融资客青睐12股，海亮股份买入占比高达55.89%,Wind
421,2021-02-04,A股融资融券日报：两融余额减少13.1亿元（2月3日）,Wind
422,2021-02-04,超500亿资金涌入 可降解塑料产业大爆发,证券时报
423,2021-02-03,昨日跌停，今日涨停！就因为披露了这项指标,上证报
424,2021-02-02,化工行业：美国ITC对京东方及三星启动337调查 LCD面板预计Q1再涨价10%,新浪
425,2021-02-02,2021年2月份上海证券研究所投资组合报告,新浪
426,2021-02-02,A股融资融券日报：两融余额减少18.24亿元（2月1日）,Wind
427,2021-02-01,金发科技今日大宗交易成交7.02万股，成交价30.48元溢价0.0%,Wind
428,2021-02-01,金发科技尾盘触及涨停再创新高，降解塑料概念炒作依旧火热,Wind
429,2021-02-01,降解塑料概念再度活跃 长鸿高科丹化科技等涨停,证券时报网
430,2021-02-01,金发科技涨逾8%，股价站上30元再创新高,Wind
431,2021-02-01,“限塑令”发威！概念股掀涨停潮，机构：政策利好将正式落地,金融界
432,2021-02-01,【行情】可降解塑料午后继续走强，冠豪高新、丹化科技等个股午后涨停，瑞丰高材，金发科技等大涨超8%,金十数据
433,2021-02-01,可降解塑料概念股走强 金发科技、万华化学创历史新高,格隆汇
434,2021-02-01,A股融资融券日报：两融余额减少155.52亿元（1月29日）,Wind
435,2021-02-01,96股获券商买入评级，会畅通讯目标涨幅达120.06%,Wind
436,2021-01-31,石油石化、基础化工、新材料行业北上资金流向周报,新浪
437,2021-01-30,1月份十大牛股出炉 川能动力问鼎榜首,财富动力网
438,2021-01-30,金发科技(600143)2020年业绩预报点评：业绩大幅增长 持续看好公司成长性兑现,新浪
439,2021-01-29,东北证券--金发科技：业绩符合预期，医疗健康与新材料有望超预期【公司研究】,金融界股吧
440,2021-01-29,2020Q4化工行业基金持仓分析：公募基金向核心资产聚集趋势明显 化纤行业备受青睐,广发证券
441,2021-01-29,金发科技：改性塑料龙头受益景气度提升，丁腈手套产能持续扩张,中金在线
442,2021-01-29,金发科技(600143)：防疫相关产品贡献增量 年报业绩大增,新浪
443,2021-01-29,A股融资融券日报：两融余额减少80.38亿元（1月28日）,Wind
444,2021-01-29,A股早报2021年1月29日星期五,Wind
445,2021-01-29,金发科技(600143)预计2020年归母净利润同比增加264%至,智通财经
446,2021-01-28,金发科技：2020年预计净利润同比增长264.0%~276.0%,Wind
447,2021-01-28,晚间重要公告2021年1月28日星期四,Wind
448,2021-01-28,周四上市公司晚间重要公告,金融界
449,2021-01-28,金发科技：预计2020年度净利45.35亿元-46.80亿元同比增264%-276%,格隆汇
450,2021-01-28,金发科技：2020年净利预增264%到276%,e公司
451,2021-01-28,金发科技：2020年度净利润同比增加264%到276%,Wind
452,2021-01-28,结构性龙头会是谁？通威股份OR特变电工,云掌财经
453,2021-01-28,A股融资融券日报：两融余额减少3.98亿元（1月27日）,Wind
454,2021-01-28,机构五日抢筹26股 主力资金大量流入,证券之星
455,2021-01-27,3日2板的金发科技(600143.SH)：未涉及热点概念,格隆汇
456,2021-01-27,A股奇观：鼠年末尾“猫”炸了！都是“黑猫”谁更妖：一只8天翻倍险收“天地板”；一只利好“慢半拍”封涨停！,每日经济新闻
457,2021-01-27,金发科技等30股股价创历史新高,证券时报网
458,2021-01-27,金发科技龙虎榜数据(1月27日）,Wind
459,2021-01-27,涨停板解密：三板块个股火热上攻！（1月27日）,Wind
460,2021-01-27,禁塑令打开可降解塑料千亿级市场！可降解塑料有望成为国内需求增长最快的市场，PVC助剂龙头切入新赛道,金融界
461,2021-01-27,禁塑令逐步落地，可降解塑料市场前景广阔，龙头公司将持续受益丨牛熊眼,第一财经
462,2021-01-27,禁塑令逐步落地，降解塑料概念再度活跃，金发科技等涨停,证券时报网
463,2021-01-27,可降解塑料概念股继续走强，金发科技拉升触板,Wind
464,2021-01-27,A股融资融券日报：两融余额减少91.71亿元（1月26日）,Wind
465,2021-01-26,A股早报2021年1月26日星期二,Wind
466,2021-01-25,金发科技(600143.SH)：2021年度拟向工商银行申请总额不超56.82亿元经营性综合授信额度,格隆汇
467,2021-01-25,化工行业周观点：化纤等顺周期持续上涨 关注周期成长,新浪
468,2021-01-25,涨停板解密：资金追捧，化工股全面火爆！（1月25日）,Wind
469,2021-01-25,化工行业周报：农药板块迎来景气反转 关注细分龙头 继续推荐顺周期资产,新浪
470,2021-01-25,限塑令受益股金发科技冲击涨停，成交金额约37亿元,Wind
471,2021-01-25,石油化工新材料行业北上资金周报,新浪
472,2021-01-25,塑料替代品涨价 概念股集体拉升,第一财经
473,2021-01-24,化工行业深度研究与投资策略：寻找确定性更强的增长方向,新浪
474,2021-01-24,限塑令市场蓝海催生“妖股”，替代品类价格上涨,第一财经
475,2021-01-22,金发科技：高性能医用及健康防护手套提前试车成功,大众证券报
476,2021-01-22,可降解塑料风起：企业加速抢跑，原材料价格飙涨,Wind
477,2021-01-20,基础化工行业：禁塑令逐步落地 可降解塑料风起,新浪
478,2021-01-19,化工板块再度走强 润禾材料正丹科技等涨停,证券时报网
479,2021-01-19,化工板块持续爆发 关注四大投资主线,证券时报网
480,2021-01-19,A股早报2021年1月19日星期二,Wind
481,2021-01-19,化工｜化工行情持续爆发，关注四大投资主线,中信证券研究
482,2021-01-18,涨停复盘 | 多点开花 个股普涨 宜宾纸业收获9连板,第一财经
483,2021-01-18,可降解塑料爆发！养猪户眼中的周期大牛股金发科技,搜狐
484,2021-01-18,涨停板解密：化工股迎涨停潮！（1月18日）,Wind
485,2021-01-18,石油天然气／基础化工行业周报(第二周),新浪
486,2021-01-18,可降解塑料板块爆发，产品价格飞涨，关注率先卡位行业龙头,财联社
487,2021-01-18,A股收盘综述：上证指数涨0.84%，创业板指涨近2%,Wind
488,2021-01-18,两市逾百股涨停，涨停数量创阶段新高,Wind
489,2021-01-18,化工行业周报：粘胶涨价有望超预期 继续看好顺周期龙头,新浪
490,2021-01-18,降解塑料板块大涨 龙头金发科技触及涨停,中证网
491,2021-01-18,解盘：科技股活跃，稀土、半导体、水产、大基金领涨,Wind
492,2021-01-18,A股午盘综述：上证指数涨0.7%，创业板指涨1.84%,Wind
493,2021-01-17,医疗器械涨跌幅一周排行榜：南山智尚以19.98%领涨，PVP手套概念股跌幅居前,华夏时报
494,2021-01-15,0116日报/华鲁恒升入选2020年合成氨行业能效“领跑者”【东北基础化工】,东北基础化工
495,2021-01-12,化工行业：恩捷股份拟58亿元投建锂电项目 LCD主流尺寸面板预计继续涨价,新浪
496,2021-01-12,最严“限塑令”实施首周：可降解塑料袋涨价15%,每日经济新闻
497,2021-01-11,每经记者实探限塑令实施首周行业现状：可降解塑料袋涨价15% 纸制品企业满负荷生产,每日经济新闻
498,2021-01-11,石油化工／基础化工行业周报(第一周),新浪
499,2021-01-11,口罩股整体活跃，洁特生物、金发科技、振德医疗、道恩股份、蓝帆医疗等均大涨,Wind
500,2021-01-11,化工行业周报：原油价格持续反弹 加大顺周期行业龙头配置力度,新浪
501,2021-01-08,0109日报/龙蟒佰利上调各型号钛白粉价格【东北基础化工】,东北基础化工
502,2021-01-08,史上最严限塑令落地实施！可降解塑料袋价格飙涨，多只概念股率先涨停（附股）,证券时报网
503,2021-01-08,金发科技持续走强 股价创历史新高,证券时报网
504,2021-01-08,每经头条｜限塑令首周：可降解塑料袋涨价15% 纸制品24小时满负荷生产 上游正疯狂扩产,每日经济新闻
505,2021-01-08,口罩股表现活跃，金发科技、蓝帆医疗、英科医疗、延安必康、振德医疗大涨,Wind
506,2021-01-06,安信证券：生物基行业政策保驾护航下潜力巨大的新蓝海,证券时报网
507,2021-01-06,【化工-张汪强】生物基行业：政策保驾护航下潜力巨大的新蓝海,安信证券研究
508,2021-01-05,0106日报/史丹利2020年净利预增120%至160% 【东北基础化工】,东北基础化工
509,2021-01-04,基础化工／石油化工行业周报(第五十三周),新浪
510,2021-01-04,化工行业周报：粘胶淡季不淡 看好化工核心资产及顺周期龙头,新浪
511,2021-01-04,金发科技内生外延并举成亚太改性塑料龙头 创新驱动上市16年扣非净利累计增长38倍,长江商报
512,2020-12-28,化工行业周报：化工品价格涨跌互现 北京市塑料污染治理行动计划发布,广发证券
513,2020-12-28,石油天然气／基础化工行业周报(第五十二周),新浪
514,2020-12-28,化工周报：农化进入补库存阶段 部分周期品淡季回落 推荐价值及成长龙头,新浪
515,2020-12-28,市场要闻 | 北京“限塑10条”正式出台，这一板块有望迎接500亿市场,36氪
516,2020-12-28,化工行业周报：制冷剂、粘胶继续上涨 建议加大顺周期资产配置力度,新浪
517,2020-12-28,传统板块年底发力，“煤飞色舞”行情再现,Wind
518,2020-12-28,传统板块年底发力 “煤飞色舞”行情再现,证券时报
519,2020-12-25,2020年度盘点：细数A股那些让投资者心惊肉跳的“黑天鹅”,时代在线
520,2020-12-23,【研报掘金】需求复苏驱动价格盈利向好 看好化工顺周期龙头及优质成长股,证券时报网
521,2020-12-21,金发科技(600143.SH)：2016年度员工持股计划存续期即将届满,格隆汇
522,2020-12-15,A股早报2020年12月15日星期二,Wind
523,2020-12-14,国办提出加快推进快递包装绿色转型，行业发展空间广阔（附股）丨牛熊眼,第一财经
524,2020-12-14,【机会挖掘】国办转发发改委等部门通知 加快推进快递包装绿色转型（附股）,证券时报网
525,2020-12-14,"国外疫情感染人数攀新高,疫情防护需求有望打开金发科技增长空间",投资家
526,2020-12-11,金发科技：累计获得政府补助1.21亿元,中证网
527,2020-12-11,金发科技(600143.SH)近日获政府补助1.21亿元,格隆汇
528,2020-12-11,金发科技：最近一年共确认与收益相关的政府补助1.21亿元,Wind
529,2020-12-08,基础化工行业12月投资策略：行业景气上行 看好化工迎来“大”时代 维持“超配”评级,格隆汇
530,2020-12-08,会通股份募资3.8亿加速国产替代 何享健长女何倩嫦持股财富达36亿,长江商报
531,2020-12-06,石油石化、基础化工、新材料行业北上资金流向周报,新浪
532,2020-12-04,化工行业-三井化学：全球知名的综合性化工巨头,新浪
533,2020-12-04,可降解塑料行业深度研究报告：禁塑政策加码 可降解塑料迎500亿元市场空间,新浪
534,2020-12-03,融资客青睐12股，中原高速买入占比高达45.37%,Wind
535,2020-12-03,天风证券：海南禁塑全面开启，可降解塑料时代来临,Wind
536,2020-12-02,股价连续三天涨停 丹化科技提示“可降解塑料”销售额600万元,e公司
537,2020-12-02,2020年12月份上海证券研究所投资组合报告,新浪
538,2020-12-02,金属非金属新材料行业点评：海南禁塑全面开启 可降解塑料时代来临,新浪
539,2020-12-01,0107日报/万华化学预计2020年归母净利润96到101亿元 【东北基础化工】,东北基础化工
540,2020-12-01,可降解塑料板块走强，机构：行业潜在需求空间巨大丨牛熊眼,第一财经
541,2020-12-01,利好政策频出 可降解塑料概念迎发展机遇,第一财经
542,2020-11-30,再迎政策利好，可降解塑料概念持续走强，关注龙头企业,第一财经
543,2020-11-30,石油化工新材料行业北上资金周报,新浪
544,2020-11-30,基础化工／石油化工行业周报(第四十八周),新浪
545,2020-11-27,十张图了解2020年中国改性塑料行业市场现状及发展趋势分析 进口替代需求较高,前瞻研究院
546,2020-11-26,中信证券：上调金发科技目标价维持“买入”评级,格隆汇
547,2020-11-26,金发科技（600143）：新材料平台进入收获期，成长属性有望推动市值上行,中信证券研究
548,2020-11-25,多重利好叠加 油价长期持续回升... 券商这样看,第一财经
549,2020-11-23,11只顺周期板块绩优股获北向资金加仓,第一财经
550,2020-11-23,顺周期爆火 细分龙头名单出炉 外资潜伏11只绩优股,证券之星
551,2020-11-22,【行业快评|国信化工】需求共振，行业迎来景气上行周期,化工之诚
552,2020-11-20,苹果隐瞒真相曝光！赔付7.4亿，承认iPhone12有缺陷,证券时报网
553,2020-11-18,景气上行，量价齐升，化工行业迎高光时刻,Wind
554,2020-11-18,行业迎景气上行周期，化工板块走势活跃，金浦钛业六连板,证券时报网
555,2020-11-17,国信证券：化工行业进入景气上行阶段 建议布局三大主线（附股）,证券时报网
556,2020-11-17,化工行业：可降解餐具《新标准》落地 完全可降解材料推广有望提速,新浪
557,2020-11-17,化工行业动态点评：需求共振，行业迎来景气上行周期,国信研究
558,2020-11-17,化工周报：周期品涨价扩散 纺服、汽车产业链复苏有望超预期,新浪
559,2020-11-07,化工-2020Q3公募基金化工重仓股分析：化工持仓环比继续上升 白马龙头持股占比进一步提升,新浪
560,2020-11-06,【天风新材料】可降解塑料深度之三：PBAT成本下降空间有多大？,煤炭鑫观点
561,2020-11-03,“限塑令”成“禁塑令”，17万家企业如何吃下300亿市场？,财经无忌
562,2020-11-03,限塑令风口千亿市场一枝独秀 北向资金助力金发科技股价飙升两成,华夏时报
563,2020-10-31,三季度公募调仓加“酒量”，证金汇金青睐医药股,证券时报网
564,2020-10-31,110余家公司第三季度净赚超10亿元,Wind
565,2020-10-31,三季度公募调仓加“酒量”，证金汇金青睐医药股,Wind
566,2020-10-26,化工周报：DMF、MDI大幅上涨 化工品需求整体向好 继续推荐白马及周期龙头,新浪
567,2020-10-23,A股三季报下周收官，大数据寻找双增标的,Wind
568,2020-10-23,北向资金加仓优质资产 挺进12家公司股东榜,上证报
569,2020-10-22,强烈关注！这12只股票，北向资金已进入十大股东榜,上证报
570,2020-10-22,强烈关注！这12只股票 北向资金已进入十大股东榜,上证报
571,2020-10-22,8只国家队重仓股 前三季度净利润翻倍增长,财富动力网
572,2020-10-21,刚刚，易会满重磅发声：践行“不干预”理念，把不该管的坚决放权于市场！国家队三季报重仓股名单来了，最高持仓超百亿,证券时报
573,2020-10-21,口罩板块延续低迷，英科医疗跌超9%,Wind
574,2020-10-20,化工行业周报：MDI大幅上涨 化纤景气复苏 持续推荐白马及周期龙头,新浪
575,2020-10-20,【东北化工陈俊杰】金发科技（600143）三季报点评：资产负债表修复明显，主业环比改善,东北证券研究所
576,2020-10-19,67股获券商买入评级，众信旅游目标涨幅达82.64%,Wind
577,2020-10-16,59股今日获机构买入评级,证券时报网
578,2020-10-16,金发科技(600143)：三季报大幅增长 防疫物资贡献增量,新浪
579,2020-10-16,融资客青睐17股，美好置业买入占比高达51.81%,Wind
580,2020-10-16,金发科技经营性现金流大增222.8% 子公司拟50亿投建医用防护产品项目,长江商报
581,2020-10-15,金发科技(600143)：业绩符合预期 拟投建医用手套,新浪
582,2020-10-15,金发科技(600143)三季报简评：口罩产业链回归理性前提下Q3业绩仍具韧性 新材料前景可期,新浪
583,2020-10-15,【财报智读】金发科技：2020年前三季度营业总收入262亿元，归母净利润37.94亿元,面包财经
584,2020-10-15,【面包财报】金发科技：2020年前三季度营业总收入262亿元，归母净利润37.94亿元,面包财经
585,2020-10-15,东阿阿胶今年有望转亏为盈 这些业绩翻倍股或有大机会,巨丰财经
586,2020-10-15,金发科技(600143.SH)：子公司拟投建年产400亿只高性能医用及健康防护手套生产建设项目,格隆汇
587,2020-10-14,金发科技公布三季报 前三季净利增加301.76%,新浪
588,2020-10-14,金发科技前三季净利同比增逾三倍,上证报
589,2020-10-14,金发科技子公司拟50亿元投建高性能医用及健康防护手套生产建设项目,上证报
590,2020-10-14,金发科技：前三季度净利润37.94亿元 同比增长301.76%,中证网
591,2020-10-14,金发科技(600143.SH)：前三季净利升301.76%至37.94亿元,格隆汇
592,2020-10-14,金发科技：前三季度净利润37.9亿元，同比增长301.76%,Wind
