,2021-12-31,2021年的啤酒板块∶行情欠佳但酒香四溢,智通财经
469,2021-06-20,食品行业周报：截至2021年5月底 全国共生产食糖1066.05万吨,新浪
470,2021-06-18,重庆啤酒入选沪深300，2020年总销量增长3.3%,搜狐
471,2021-06-18,食品饮料行业2021年中期投资策略报告会：关注需求恢复与消费升级下的投资机遇,新浪
472,2021-06-18,重庆啤酒入选沪深300： “本地品牌+国际品牌” 双引擎驱动强势增长,财经网
473,2021-06-18,食品饮料行业周报：高端白酒基本面依然稳固 食品线上高基数期之后将重拾增长,新浪
474,2021-06-17,周谈 | Weekly Talk：啤酒旺季供销两旺，饮料板块有望全面回暖,食品饮料光头阳线
475,2021-06-17,机构看好啤酒板块配置价值,财华社
476,2021-06-17,【行情】A股啤酒概念拉升走强，兰州黄河涨停，惠泉啤酒、青岛啤酒、重庆啤酒跟涨,金十数据
477,2021-06-16,食品饮料行业研究周报：啤酒旺季供销两旺 饮料板块有望全面回暖,新浪
478,2021-06-16,财信证券食品饮料行业2021年5月月度报告：白酒高景气延续，通胀压力下大众品精选好赛道,财信证券研究
479,2021-06-15,食品饮料行业动态报告：白酒调整释放估值压力 啤酒旺季加速结构提升,新浪
480,2021-06-15,食品饮料行业2021年中期策略：白酒重视次高端红利 大众品关注啤酒、预调酒及速冻食品,广发证券
481,2021-06-15,【方正食饮210615】小酒情绪退潮，坚守行业长线趋势,虎哥的研究
482,2021-06-15,每日理财观察：7万亿理财市场重磅新规落地,Wind
483,2021-06-14,板块拾金丨鸿蒙概念股强势来袭；白酒板块回调风云突变，节后形势一片大好？,第一财经
484,2021-06-13,食品饮料：基础建设年 稳中求进取,新浪
485,2021-06-12,重庆啤酒入沪深300指数 成上证180唯一渝股 今年累计涨幅44%,上游新闻
486,2021-06-12,双引擎驱动强势增长，重庆啤酒入选沪深300,上游新闻
487,2021-06-11,百元股数量达163只，一日增加5只,证券时报网
488,2021-06-09,重庆啤酒一名外籍董事辞职 曾任嘉士伯集团供应链执行副总裁 董监高成员变化,和讯
489,2021-06-09,重庆啤酒人事变动 外籍董事辞去工作 董监高成员变化,和讯
490,2021-06-09,重庆啤酒股价飙涨市值年增578亿 净利首破10亿行业座次晋升前四,长江商报
491,2021-06-08,重庆啤酒发生人事变动,北京商报
492,2021-06-08,重庆啤酒：董事Philip A. Hodges辞职,Wind
493,2021-06-08,重庆啤酒：公司董事变更 董监高成员变化,每日经济新闻
494,2021-06-08,重庆啤酒(600132.SH)董事Philip A. Hodges 辞职,智通财经
495,2021-06-08,川财研究大消费产业链核心数据跟踪日报,新浪
496,2021-06-08,周谈 | Weekly Talk：啤酒旺季动销有望超预期，食品配料迎来春天,食品饮料光头阳线
497,2021-06-08,A股异动丨重庆啤酒(600132.SH)回吐近6%连续5日遭北上资金净卖出,格隆汇
498,2021-06-08,食品饮料行业周报：高端白酒价格稳步趋好 关注高端配置节点,新浪
499,2021-06-08,两市百元股数量达159只，科创板股票占38.36%,证券时报网
500,2021-06-08,白酒大涨，还值得投资吗？,Wind
501,2021-06-07,啤酒暴涨！2020欧洲杯和奥运会要来了,中金在线
502,2021-06-07,A股啤酒白酒板块指数近一个月涨超18% 酒企积极布局高端市场效果显着,证券日报网
503,2021-06-07,食品行业周报：《推动四川白酒产业高质量发展的若干措施》审议通过,新浪
504,2021-06-07,一数据解释二三线白酒股大涨原因 啤酒板块或迎两大利好（附股）,巨丰财经
505,2021-06-07,国产半导体设备材料“卖断货”！科技股全面爆发 通信板块名单梳理,中金在线
506,2021-06-07,重磅利空，万亿白马跌600亿！医美集体崩了,Wind
507,2021-06-07,解盘：科技股强势，半导体、操作系统、自主可控略涨,Wind
508,2021-06-07,啤酒板块大涨原因揭秘，机构：未来5年行业利润有望翻倍增长,第一财经
509,2021-06-07,快讯｜A股啤酒板块大涨，青岛啤酒、重庆啤酒逼近涨停,财经网
510,2021-06-07,啤酒股全线暴涨 青岛啤酒、重庆啤酒股价创历史新高,e公司
511,2021-06-07,青岛啤酒A股封住涨停板，创历史新高,Wind
512,2021-06-07,啤酒板块走强重庆啤酒大涨超8%,格隆汇
513,2021-06-07,【行情】啤酒概念异动拉升，惠泉啤酒涨停，重庆啤酒、青岛啤酒、乐惠国际跟涨,金十数据
514,2021-06-07,销售旺季临近，啤酒股发力上攻,Wind
515,2021-06-07,青岛啤酒：产品+消费场景协同 掘金高端市场仍需加速,财联社
516,2021-06-07,消费旺季叠加体育赛事 啤酒股集体嗨起来,财富动力网
517,2021-06-06,青岛啤酒：产品?消费场景打造协同推进掘金高端市场仍需加快速度,财联社
518,2021-06-06,重庆啤酒借势嘉士伯全国化、高端化加码热门果酒赛道探索新增量,财联社
519,2021-06-03,八大券商主题策略：看多白酒板块！5、6月份是一年内持有白酒股最好的时间段,中金在线
520,2021-06-02,富时罗素季度调整结果公布，速看新增剔除A股标的全名单,Wind
521,2021-06-02,北向资金今日净卖出20.14亿元，恒瑞医药净卖出额创历史新高,Wind
522,2021-06-02,从“重庆之王”到生死难料：在中国捞金无数的外资品牌，背后做了什么？,36氪
523,2021-06-02,啤酒迎来动销旺季指数早盘大涨2%,第一财经
524,2021-06-02,北向资金抛售白酒股，买入这些行业和个股（名单）,21世纪经济报道
525,2021-06-02,【金工】2021年6月A股重点宽基指数样本股调整名单——权益事件点评,渤海证券研究
526,2021-06-02,东北证券：啤酒迎来动销旺季,Wind
527,2021-06-02,【天风Morning Call】晨会集萃20210602,天风研究
528,2021-06-01,食品饮料行业研究周报：啤酒动销旺季有望超预期 次高端仍是当前主线,新浪
529,2021-06-01,周谈 | Weekly Talk：啤酒动销旺季有望超预期，次高端仍是当前主线,食品饮料光头阳线
530,2021-06-01,食品饮料行业：高端白酒扩容加速 啤酒迎来动销旺季,新浪
531,2021-06-01,食品饮料行业周报：股东大会反馈乐观 次高端景气度佳,新浪
532,2021-06-01,“火锅+啤酒”才是标配 重庆啤酒提前步入销售旺季 公司称暂无提价计划,证券日报
533,2021-06-01,旺季来临，啤酒行业今年如何赚钱？百威涨价，雪花“喝”白酒,奥一网
534,2021-05-29,食品饮料行业周报：北向资金主导板块行情 洋河股东会反馈积极,新浪
535,2021-05-28,中证指数公司调整沪深300等指数样本,Wind
536,2021-05-28,【异动股】酿酒行业板块下挫，重庆啤酒(600132.CN)跌2.78%,财华社
537,2021-05-28,啤酒企业的“高端”之战,新京报
538,2021-05-27,酒业观察 | 提价、推新品，啤酒企业的“高端”之战,新京报
539,2021-05-27,浙商证券--酒水行业周报&策略会专题报告：中期策略会&股东大会专题周报，结构性分化仍为主线【行业研究】,金融界股吧
540,2021-05-27,食品饮料行业：高端加速 利搏云天 共迎黄金时代,新浪
541,2021-05-27,燕京啤酒一季度净亏过亿，代言人从王一博换成蔡徐坤，痴迷于顶流明星营销！ 亏损,搜狐
542,2021-05-27,华泰证券：开源节流并举，啤酒行业盈利有望加速释放,证券时报网
543,2021-05-26,啤酒“优等生”重啤的秘密：嘉士伯均衡术,21世纪经济报道
544,2021-05-26,中信建投：坚定看好头部白酒龙头，调味品建议关注业绩稳定性强的调味品龙头,证券时报网
545,2021-05-26,白酒需求持续高景气，高端酒批价逐渐上行,中信建投证券研究
546,2021-05-25,食品饮料行业中期策略：寻找消费升级下结构性机会,新浪
547,2021-05-25,西部证券：啤酒产业结构升级趋势清晰，未来5年行业利润有望翻倍增长,证券时报网
548,2021-05-25,从王一博到蔡徐坤，年轻人不爱喝啤酒？| 夏日经济之啤酒篇,前瞻研究院
549,2021-05-25,周谈 | Weekly Talk：二线三线全年发力可持续，大树底下好乘凉,食品饮料光头阳线
550,2021-05-25,“牛市旗手”大涨、“喝酒吃药”行情再现、沪指突破3500点,Wind
551,2021-05-25,刚刚！“牛市旗手”暴涨、“喝酒吃药”行情再现、沪指突破3500点…A股市场多点开花，北上资金也在狂买！,证券时报
552,2021-05-25,食品行业周报：2021年1-4月规模以上啤酒企业累计产量同比增长33.6%,新浪
553,2021-05-25,德邦证券--食品饮料行业周报：板块业绩真空期，继续看好酒类表现【行业研究】,金融界股吧
554,2021-05-25,【天风Morning Call】晨会集萃20210525,天风研究
555,2021-05-24,德邦证券首予重庆啤酒增持评级，深度报告：高端啤酒排头兵，乌苏吹响全国化号角，目标价190元,每日经济新闻
556,2021-05-24,食品饮料行业龙头竞争优势加剧，推荐三条主线,东北证券
557,2021-05-23,食品饮料行业周报：白酒龙头传递长期信心 当下仍以白酒为主啤酒为辅,新浪
558,2021-05-22,高端化渐成行业风潮 整个啤酒行业进入成熟期,36氪
559,2021-05-21,重庆啤酒(600132)：营收增长叠加产品结构改善推动业绩不断提升,广发证券
560,2021-05-21,5月21日晚间重要行业研究汇总(附股),中金在线
561,2021-05-21,食品饮料行业2020年报及2021一季报小结：结构升级成为主旋律 龙头竞争优势加剧,新浪
562,2021-05-21,东北证券--食品饮料行业：结构升级成为主旋律，龙头竞争优势加剧【行业研究】,金融界股吧
563,2021-05-21,国外消费巨头纷纷布局 与本地品牌“联手”双赢,投资者网
564,2021-05-21,东北证券：啤酒旺季来临值得关注,Wind
565,2021-05-21,“新国潮”升级演进下 被“包围”的民族品牌如何焕发生机,投资者网
566,2021-05-20,兰州黄河：公司没有收到任何关于重庆啤酒打算收购公司的信息,每日经济新闻
567,2021-05-20,消费旺季来临 啤酒巨头抢先提价,投资快报
568,2021-05-20,直击股东会|疫情后旺季前啤酒跑出加速度重庆啤酒大会现场解答了这些疑惑,证券之星
569,2021-05-20,食品饮料行业周报：高端白酒动销进展顺利 啤酒旺季来临值得关注,新浪
570,2021-05-20,【东北机构销售】复盘笔记0519：指数走势分化沪指跌0.4% 新能源汽车接力上涨,东北证券研究所
571,2021-05-19,2021-05-19 NESC复盘笔记：指数走势分化沪指跌0.4% 新能源汽车接力上涨,复盘笔记
572,2021-05-19,国产啤酒“登高谋远”，未来能否困境反转？,DoNews
573,2021-05-19,短短两个月股价翻倍 盛夏即将来临、这个板块已躁动不安,上证报
574,2021-05-19,东北证券--食品饮料行业动态报告：高端白酒动销进展顺利，啤酒旺季来临值得关注【行业研究】,金融界股吧
575,2021-05-19,申港证券--从高景气二级行业出发选股：优化四维度连续景气综合打分系统找出最景气的申万二级行业【投资策略】,金融界股吧
576,2021-05-19,消费旺季来临 啤酒巨头抢先提价,财富动力网
577,2021-05-18,【财联社午报】情绪指标触及冰点！重庆啤酒再创历史新高 医药股集体调整,财联社
578,2021-05-18,解盘：资金继续流入，黄金珠宝、军工、次新股略涨,Wind
579,2021-05-18,啤酒板块再度走强重庆啤酒涨超6%创历史新高,格隆汇
580,2021-05-18,快讯：啤酒股早盘再度走强 重庆啤酒股价创历史新高,财联社
581,2021-05-18,啤酒股表现强势，兰州黄河4日3板,Wind
582,2021-05-17,盘点2020啤酒行业：谁说“悲欢不相通”？,GPLP犀牛财经
583,2021-05-17,食品饮料-商品价格大涨下的投资机会分析：成本上涨 提价可期；鉴往知来 影响几何？,新浪
584,2021-05-17,食品饮料行业2020年年报及2021年一季报业绩综述：白酒分化明显食品预期改善,渤海证券
585,2021-05-17,德邦证券--食品饮料行业周报：啤酒旺季来临，关注东鹏饮料上市【行业研究】,金融界股吧
586,2021-05-17,食品饮料行业周报：与业绩为友 择成长相伴,新浪
587,2021-05-15,食品饮料行业周报：关注渠道经营质量 把价值交给时间,新浪
588,2021-05-14,旺季来临！啤酒板块再度大涨这家龙头企业近期获超200家机构调研,第一财经
589,2021-05-14,"重庆啤酒现2笔大宗交易 共成交1,948.80万元",新浪
590,2021-05-14,重庆啤酒今日大宗交易成交11.60万股，成交价168.0元折价1.5%,Wind
591,2021-05-14,啤酒迈入“量跌价升”时代：行业销售旺季来临 重庆啤酒创历史新高,财联社
592,2021-05-14,啤酒板块活跃 重庆啤酒涨幅居前,新浪
593,2021-05-14,啤酒股继续上攻，重庆啤酒创历史新高,Wind
594,2021-05-13,"重庆啤酒现1笔大宗交易 共成交1,027.00万元",新浪
595,2021-05-13,重庆啤酒今日大宗交易成交6.50万股，成交价158.0元折价0.13%,Wind
596,2021-05-13,啤酒旺季将至机构推荐这些个股,第一财经
597,2021-05-13,A股收盘综述：周期股大幅回调，上证指数跌0.96%止步三连阳,Wind
598,2021-05-13,啤酒股午后涨势扩大，兰州黄河封板,Wind
599,2021-05-13,【行情】啤酒概念持续拉升走高，珠江啤酒涨超6%，重庆啤酒、兰州黄河、青岛啤酒跟涨,金十数据
600,2021-05-13,销售旺季来临啤酒市场大涨价：龙头股提前引爆 聪明资金抢买3股,腾讯网
601,2021-05-13,啤酒股逆势走高，珠江啤酒大涨5%,Wind
602,2021-05-13,食品行业周报：2021年4月份全国白酒商品批发价格定基指数上涨6.72%,新浪
603,2021-05-13,【热点报告——股指期货】2021年6月主要规模指数成分股调整预测及影响,东证衍生品研究院
604,2021-05-12,国产啤酒“登高谋远”，未来能否困境反转？,36氪
605,2021-05-12,食品饮料行业月报：白酒批价有望持续上行 大众食品成本压力仍存,渤海证券
606,2021-05-12,食品饮料行业一季报回顾：可选消费表现亮眼 必选消费有所承压,新浪
607,2021-05-12,食品饮料行业4月线上数据分析专题：酒类线上销售略有下滑 青岛啤酒市占率有所提升,新浪
608,2021-05-11,资产重组后重庆啤酒业绩全面提升 本土品牌增长强劲,21世纪经济报道
609,2021-05-11,重庆啤酒(600132)：一季度表现靓丽 期待全年乘势而上,新浪
610,2021-05-11,啤酒行业2020年报及2021Q1季报总结：高端化持续加速 看好升级趋势下的龙头业绩,新浪
611,2021-05-11,酒水行业周报(2021年5月第1期)：在震荡中寻找确定性及超预期,新浪
612,2021-05-10,食品饮料行业动态：升级逻辑持续演绎 稳健不改 仍有超预期可能性,新浪
613,2021-05-10,酒类股走势现分化，泸州老窖等白酒股走低，啤酒股集体拉升,证券时报网
614,2021-05-10,中信证券：啤酒高端化持续加速，建议布局啤酒板块,Wind
615,2021-05-10,中信证券晨会,新浪
616,2021-05-10,中信证券：啤酒高端化持续加速，看好升级趋势下的龙头业绩,证券时报网
617,2021-05-10,啤酒｜高端化持续加速，看好升级趋势下的龙头业绩：2020年报及2021Q1季报总结,中信证券研究
618,2021-05-07,机会来了！这些公司有望调入沪深300、上证50指数,Wind
619,2021-05-07,重庆啤酒总裁李志刚：业绩增长目标有压力也有动力,每日经济新闻
620,2021-05-07,重庆啤酒总裁李志刚：从3元到5元也是高端化， “大乌苏”也要杀进更多市场,每日经济新闻
621,2021-05-07,中金：医药、新能源多只股票或将纳入沪深300指数,Wind
622,2021-05-07,2020年非金融类公司投资收益占比创历史新高,证券时报
623,2021-05-06,与嘉士伯“打通房间”后 重庆啤酒加快品牌与渠道布局,证券日报
624,2021-05-04,157.38元/股！重庆啤酒成第二高价渝股，总市值达761亿元,重庆商报
625,2021-05-04,礼包 | 五一大消费研究专题,中信建投证券研究
626,2021-05-01,沪深59家重庆上市公司去年赚431亿元 谁是业绩王？,重庆商报
627,2021-05-01,A股盈利榜：净资产收益率降至十年新低，休闲服务行业受疫情冲击最严重，ROE新冠军诞生,证券时报网
628,2021-05-01,重啤完成重组后营收首过百亿，欲提速高端化进程,第一财经
629,2021-05-01,完成重组2020年业绩逆势增长 重庆啤酒正“破浪前行”,上证报
630,2021-05-01,嘉士伯与重庆啤酒“打通房间”，6+6品牌矩阵再次明确高端战略,财经网
631,2021-04-30,重庆啤酒高档产品营收比重持续提升 乌苏已成为旗下最大啤酒品牌,e公司
632,2021-04-30,华鑫证券给予重庆啤酒审慎推荐评级，产品结构持续优化，Q1业绩开门红,每日经济新闻
633,2021-04-30,安信证券维持重庆啤酒买入评级：整装向前，高端引领者开启全国化征程，目标价165元,每日经济新闻
634,2021-04-29,国盛证券维持重庆啤酒买入评级：高端化加速，2021“极速共赢”,每日经济新闻
635,2021-04-29,安信证券：重庆啤酒（600132.SH）开启全国化征程，维持“买入-A”评级，目标价165元,智通财经
636,2021-04-29,重庆啤酒(600132)：新重啤扬帆起航 2021Q1实现开门红,新浪
637,2021-04-29,高档啤酒营收增长26.28% 重庆啤酒首披碳排放数据,和讯
638,2021-04-29,【民生食饮】重庆啤酒（600132）2021年一季报点评：21Q1业绩高增，产品高端化持续推进,MS食品饮料
639,2021-04-29,重庆啤酒一季净利2.95亿增长110%以上 多只白酒股一季报预喜,巨丰财经
640,2021-04-29,销量营收双增逾五成 重庆啤酒一季度业绩增长提速,上证报
641,2021-04-28,重庆啤酒一季度赚6.16亿元 沪股通增持银华基金加仓,重庆商报
642,2021-04-28,重庆啤酒：2021年第一季度净利润约2.95亿元，同比增加111.65%,每日经济新闻
643,2021-04-28,延续全面增长势头 重庆啤酒2021年第一季度业绩表现强劲,财经网
644,2021-04-28,快讯丨重庆啤酒今年Q1净利增加112%至2.95亿元，高档啤酒收入增涨98.91%至11.07亿元,财经网
645,2021-04-28,重庆啤酒(600132.SH)一季度归母净利同比增长111.65%至2.95亿元,智通财经
646,2021-04-28,重庆啤酒(600132.SH)一季度净利润升111.65%至2.95亿元,格隆汇
647,2021-04-28,重庆啤酒：一季度净利2.95亿元 同比增长112%,e公司
648,2021-04-28,重庆啤酒：一季度净利润同比增长111.65%,Wind
649,2021-04-28,重庆啤酒去年净利增3%商誉7亿 四季度北向资金减持 减持股份,中国经济网
650,2021-04-28,民生证券维持重庆啤酒推荐评级，2020年年报点评：资产重组顺利完成，经营业绩稳健增长,每日经济新闻
651,2021-04-28,年报解读|重庆啤酒2020年业绩同比微增 预计今年啤酒市场将好于去年,财联社
652,2021-04-28,解盘：百亿资金流入，钛白粉、白酒、医疗服务领涨,Wind
653,2021-04-28,【一语道破】频繁被下调目标价的背后，华润啤酒估值高吗？ 机构下调估值,财华社
654,2021-04-28,华西证券维持重庆啤酒买入评级：20年稳健收官，新重啤破浪前行,每日经济新闻
655,2021-04-28,【异动股】酿酒行业板块拉升，海南椰岛(600238-CN)涨10.0%,财华社
656,2021-04-28,【华西食品】重庆啤酒（600132）点评报告：20年稳健收官，新重啤破浪前行,--
657,2021-04-28,重庆啤酒去年营收109亿元增长7% 嘉士伯完成注入资产当年业绩承诺,重庆商报
658,2021-04-28,重庆啤酒资产重组后首份年报：2020年营收109.42亿,新京报
659,2021-04-27,嘉士伯注入资产超额兑现业绩承诺 重庆啤酒计划今年营收持续增长,上证报
660,2021-04-27,重庆啤酒发布2020年年报 销量、营收、利润全面增长,中国网
661,2021-04-27,重庆啤酒2020年完成与嘉士伯重大资产重组 实现营收109.42亿元,证券时报网
662,2021-04-27,重庆啤酒(600132.SH)年度净利润增3.26%至10.77亿元,智通财经
663,2021-04-27,重庆啤酒：2020年实现净利润10.77亿元 推进品牌高端化战略,中证网
664,2021-04-27,重庆啤酒(600132.SH)2020年度净利润升3.26%至10.77亿元,格隆汇
665,2021-04-27,完成重大资产重组，重啤2020年销量、营收、利润实现全面增长,上游新闻
666,2021-04-27,快讯 | 重庆啤酒去年营收增长7.14%至109.42亿元，本土品牌收入提升12.34%,财经网
667,2021-04-27,重庆啤酒：2020年净利10.77亿元同比增长3.26%,格隆汇
668,2021-04-27,重庆啤酒：2020年净利润同比增长3.26%,Wind
669,2021-04-26,周谈 | Weekly Talk：财报密集周迎白酒开门红，消费淡季做市场纷至沓来,食品饮料光头阳线
670,2021-04-26,4月26日主力资金净流出246亿元,证券时报网
671,2021-04-26,A股收盘综述：三大股指冲高回落，券商股午后跳水,Wind
672,2021-04-26,【异动股】酿酒行业板块下挫，迎驾贡酒(603198-CN)跌7.3%,财华社
673,2021-04-23,那么，既然燕京啤酒产品单价上升了，为何利润却一塌糊涂？问题出在成本方面。,财华社
674,2021-04-23,【一语道破】掉队！被后来者居上，燕京啤酒能否重振雄风？,财华社
675,2021-04-23,啤酒股集体拉升，珠江啤酒一度涨停，重庆啤酒等走高,证券时报网
676,2021-04-23,啤酒盛宴，燕京缺席,斑马消费
677,2021-04-23,吨酒价格突破4000元青岛啤酒一季度业绩增长九成,财联社
678,2021-04-23,【异动股】酿酒行业板块拉升，兰州黄河(000929-CN)涨10.04%,财华社
679,2021-04-22,白酒扩容动销旺盛 调味品关注仲景食品,佳酿网
680,2021-04-21,睿远基金28亿买入电信股、一季度冠军重仓股揭晓,Wind
681,2021-04-21,广发稳健增长一季报：股票仓位降至50%以下,Wind
682,2021-04-20,德邦证券--食品饮料行业周报：一季报酒类高增无虞，食品关注渠道驱动【行业研究】,金融界股吧
683,2021-04-15,押注王一博救不了市场，燕京啤酒销量遭遇滑铁卢 盈利能力下降,红周刊
684,2021-04-14,食品饮料行业估值回归合理区间，关注一季度业绩反弹,东北证券
685,2021-04-13,4月13日晚间重要行业研究汇总(附股),中金在线
686,2021-04-13,【A股收盘综述】上证指数跌0.48%失守3400点，创业板指涨0.84%,Wind
687,2021-04-13,八大券商主题策略：高端白酒仍是最核心标的 属于食品饮料板块的“诗和远方”,中金在线
688,2021-04-12,啤酒行业跟踪快报：一季度复苏良好 成本压力下关注提价趋势,新浪
689,2021-04-12,食品饮料行业周报：春糖反馈平稳 判断调味品行业已处调整小周期偏后期,新浪
690,2021-04-11,【民生周末重点推荐】首席看食饮：当前重点关注乳制品及啤酒板块,MS研究
691,2021-04-11,食品饮料行业周报：板块波动加剧 坚守一线白酒龙头,新浪
692,2021-04-09,两市百元股数量达134只，医药生物行业占比最高,证券之星
693,2021-04-08,食品饮料行业：白酒线上保持良好增势 五粮液新零售渠道持续放量,新浪
694,2021-04-07,食品行业周报：1-2月全国规模以上酿酒企业总产量同比+37.96%,新浪
695,2021-04-07,德邦证券--食品饮料行业周报：酱酒火热，老酒兴起【行业研究】,金融界股吧
696,2021-04-07,食品饮料行业周报：春糖 酱酒火热 老酒兴起,新浪
697,2021-04-07,春糖：酱酒火热，老酒兴起（4月7日）,德邦证券微资讯
698,2021-04-06,六大奖项助力挖掘酒业新价值 2021中国酒业金樽奖评选出炉,每日经济新闻
699,2021-03-30,食品饮料行业动态报告：估值回归预期强化 关注一季度高弹性标的,新浪
700,2021-03-30,食品饮料行业周报：2021年1-2月中国出口啤酒金额同增20%,新浪
701,2021-03-30,酒类食品饮料行业：啤酒三问三简答,新浪
702,2021-03-30,青岛啤酒营收下降净利增长18.86% 高端产品占比增加 盈利能力下降,财联社
703,2021-03-30,【天风Morning Call】晨会集萃20210330,新浪
704,2021-03-29,年报解读|高端产品占比增加 青岛啤酒营收微降净利却增近两成,财联社
705,2021-03-29,啤酒巨头业绩大比拼：青啤、华润向上，百威向下,搜狐
706,2021-03-29,食品饮料行业周报：春糖举行在即 白酒板块迎来情绪提振良机,新浪
707,2021-03-29,德邦证券--食品饮料行业周报：春糖催化在即，看好酒类表现【行业研究】,金融界股吧
708,2021-03-29,酒类股扶摇直上，张裕A涨停,Wind
709,2021-03-29,财报陆续披露，消费情绪回暖，关注业绩超预期机会,中信建投证券研究
710,2021-03-29,5年水耗下降近三成 嘉士伯中国提前完成阶段性节水目标,中国能源网
711,2021-03-25,啤酒：高端竞争或与低端有何不同？,新浪
712,2021-03-23,食品饮料行业周报：继续关注板块回调机会,新浪
713,2021-03-23,食品行业周报：2021年1-2月烟酒类商品零售总额增长43.9%,新浪
714,2021-03-23,燕京啤酒利润下滑25%，产品爆裂伤害消费者，召回220万只涉事酒瓶！ 盈利能力下降,云掌财经
715,2021-03-22,食品饮料：财报即将披露 关注2021Q1绩优股布局机会,新浪
716,2021-03-21,覆巢之下也有完卵！酿酒板块“醉倒”，重庆啤酒重上百元大关,重庆商报
717,2021-03-21,食品饮料行业周报：高端酒批价上行 继续看好一线白酒龙头,新浪
718,2021-03-21,酒水周观点：白酒板块年报季开启 金徽酒利润表现亮眼,新浪
719,2021-03-18,嘉士伯中国实现100%使用可再生电力,财经网
720,2021-03-17,泸州老窖、重庆啤酒涨近5%，吃喝行情持续走强,资本邦
721,2021-03-16,食品饮料行业周观点：Q1业绩预期不断上修 基本面信心较强,新浪
722,2021-03-16,重庆嘉酿上诉重庆嘉威大股东：长期非法占用资金7亿 其他违规处罚,中华网
723,2021-03-16,食品饮料α掘金：不排除极端情况下，茅台估值回落至40倍以内,新浪
724,2021-03-15,重庆啤酒(600132.SH)：重庆嘉酿以钰鑫集团损害重庆嘉威的公司利益为由 所提交的民事起诉状获法院受理 诉讼纠纷,格隆汇
725,2021-03-15,快讯｜重庆啤酒：重庆嘉酿要求钰鑫实业返还6.99亿占用资金一案已获法院受理 资金问题,财经网
726,2021-03-15,食品饮料周报：白酒进入价值区间 关注2021一季报投资机会,新浪
727,2021-03-15,啤酒行业深度报告：千帆竞渡，高端产品百花齐放的大时代,东北食品饮料
728,2021-03-15,青岛啤酒2020年主业利润增长35%，加快听装、精酿等高附加值产品发展！,云掌财经
729,2021-03-15,食品饮料行业周报：估值回落至合理区间 重视企业长期空间,新浪
730,2021-03-12,拥有嘉士伯的重庆啤酒为何一个月狂泻38%？,发现网
731,2021-03-11,啤酒行业2020年终大考，青岛啤酒表现如何？,财经网
732,2021-03-11,德邦证券--食品饮料行业周报：白酒配置价值逐步显现，自下而上掘金食品【行业研究】,金融界股吧
733,2021-03-10,渝股点金 | 华龙证券罗涛：关注重庆啤酒年线附近的支撑力度,上游新闻
734,2021-03-10,食品饮料：短期波动仍存 基本面向好提供支撑,新浪
735,2021-03-09,食品饮料行业周观点：后经济增长周期下 食品饮料景气有望提升,新浪
736,2021-03-08,消费产业周报：市场进入平静期 短期机会仍聚焦疫情修复,新浪
737,2021-03-08,渝股点金 | 华龙证券罗涛：重庆啤酒逼近跌停，不宜盲目抄底,上游新闻
738,2021-03-08,A股蒸发2万亿创业板跌5%，基金重仓股杀跌！,Wind
739,2021-03-08,A股收盘综述：上证指数下滑2.3%，创业板指跌入技术性熊市,Wind
740,2021-03-05,机构重仓股一天蒸发400亿，大资金出逃名单曝光,Wind
741,2021-03-05,食品饮料行业2021年春季投资策略：精选赛道 坚守龙头,光大证券
742,2021-03-04,重庆啤酒跌6% 上月初中信公司中金证券研报唱多,中国经济网
743,2021-03-04,大牌发力的无醇啤酒，会否是下一个风口？,新京报
744,2021-03-04,日常消费行业零研月报：1月多数品类受春节后移影响但环比持续改善,新浪
745,2021-03-04,食品饮料行业周报：不惧调整大浪淘沙,渤海证券
746,2021-03-04,“狠角色”侯孝海，个人年薪超过500万，却大幅裁员，拉动华润啤酒盈利预增50%！ 员工变动,云掌财经
747,2021-03-03,国盛证券维持重庆啤酒买入评级：高端化推动量价齐升，盈利能力改善,每日经济新闻
748,2021-03-01,国内的啤酒有哪些好标的？现在是否能上车？,新浪
749,2021-03-01,消费产业周报：继续关注疫情冲击行业的景气修复行情,新浪
750,2021-03-01,民生食品饮料行业周报：静待业绩催化 短期精选防御性品种,新浪
751,2021-03-01,创业板七连跌，价值洼地来了？低估值高增长股请收藏,Wind
752,2021-03-01,主动权益基金跑输大盘，如何布局3月行情,Wind
753,2021-02-28,食品饮料行业周报：板块大幅回调 基本面坚定信心,新浪
754,2021-02-27,百威亚太2020年盈利下滑34%，收入、销量都在萎缩，遭瑞银下调目标价！ 盈利能力下降,云掌财经
755,2021-02-26,重庆啤酒节后7天市值蒸发200亿 月初中信中金研报唱多 连续下跌,中国经济网
756,2021-02-26,亚太地区业绩下滑……这家进口酒企的疫情“后遗症”来了？ 盈利能力下降,搜狐
757,2021-02-25,2月25日异动股点评：房地产板块掀涨停潮 盘点四牛与四熊,中财网
758,2021-02-24,日常消费行业阿里线上数据月报：1月膳食营养补充剂／婴幼儿奶粉／调味品高增长,新浪
759,2021-02-23,食品行业周报：2020年全国乳制品产量液态奶实现增长,新浪
760,2021-02-22,食品饮料行业动态报告：春节宴席市场恢复 白酒动销超预期,新浪
761,2021-02-21,食品饮料行业周报：春节名酒动销超预期 继续看好强势白酒龙头,新浪
762,2021-02-20,酒类食品饮料行业-啤酒：竞争进行到哪了？从福建市场说开去,新浪
