,2021-12-29,晚间重要公告2021年12月29日星期三,Wind
316,2021-05-26,平安证券--电力行业电力篇：原材料涨价影响系列研究-火电拐点已至，市场化电价如期上行【行业研究】,金融界股吧
317,2021-05-26,国君公用 | 2021年4月发用电数据点评：火电延续高增长，水电增速由负转正,国泰君安证券研究
318,2021-05-25,电力行业动态跟踪报告：数说电力(2021年5月刊),新浪
319,2021-05-25,电力行业动态跟踪报告：火电拐点已至 市场化电价如期上行,新浪
320,2021-05-25,限电洞察：云南限电蕴含了怎样的投资机会？,新浪
321,2021-05-24,公用事业行业周报：2021年风光保障性并网规模不低于90GW,新浪
322,2021-05-23,公用环保行业周报：2021风光开发建设方案终落地 引导行业合理持续发展,新浪
323,2021-05-21,华能水电：股东云南能投质押4.60亿股,每日经济新闻
324,2021-05-21,华能水电(600025.SH)：云南省能源投资集团质押4.6亿股,格隆汇
325,2021-05-21,八大券商主题策略：掘金“碳中和”！历史性配置机遇来了？全面看多煤炭板块,中金在线
326,2021-05-20,华能水电(600025.SH)：完成发行5亿元绿色超短期融资券(乡村振兴),格隆汇
327,2021-05-20,绿色能源与大宗商品月报(2021年5月)行业月报,新浪
328,2021-05-19,公用周报：2021Q1全国风电新增并网装机量526万千瓦 同期天然气表观消费量同比+18%,新浪
329,2021-05-19,中国短期融资券及中期票据信用分析周报,新浪
330,2021-05-19,公用事业点评报告：来水改善助力水电出力提升 经济景气高位拉动火电及用电向好,新浪
331,2021-05-18,华能水电：聘任孔令兵为证券事务代表,每日经济新闻
332,2021-05-18,华能水电：证代变更为孔令兵，曾任公司资本运营与股权管理部副主任,每日经济新闻
333,2021-05-18,公用事业行业4月用电及能源生产数据：电力需求向好 燃气进口提速,新浪
334,2021-05-18,晨会0518｜经济稳定恢复，结构逐步优化,中信证券研究
335,2021-05-17,公用事业行业周报：现货电价破基准电价 火电盈利低点 或估值修复,新浪
336,2021-05-17,公用事业行业周报：4月用电量同比增长13.2% 电力需求持续向好,新浪
337,2021-05-12,主要水电上市公司年报出炉：业绩稳健 后劲更足,中国能源报
338,2021-05-11,我国可再生能源装机规模稳步扩大，后市如何捕捉投资主线,第一财经
339,2021-05-10,公用事业行业：抽水蓄能价格形成机制明确 为构建新能源为主的电力系统奠基,新浪
340,2021-05-10,公用事业行业2020年报与2021一季报业绩综述：2020火电业绩显着改善 2021Q1电力营收净利双增,新浪
341,2021-05-10,【行情】电力板块异动拉升，华银电力、湖南发展涨停，川能动力涨近6%、长源电力、华能水电跟涨,金十数据
342,2021-05-09,业绩增长重归常态，碳中和助力行稳致远,郭丽丽的研究札记
343,2021-05-08,华能水电(600025)：Q1业绩扭亏为盈 即将进军新能源发电领域,新浪
344,2021-05-08,【安信环保公用邵琳琳团队】公用事业2020年报及2021Q1总结：公用事业受益于工业生产恢复反弹，业绩有望持续增长,安信证券环保公用研究
345,2021-05-07,平安证券--电力行业2020年报及2021年一季报综述：拐点已至，结构分化【行业研究】,金融界股吧
346,2021-05-05,一季度明星私募调仓全览：景林抄底上海机场，高瓴两笔定增浮亏！,智通财经
347,2021-05-03,顶流私募最新持仓曝光！冯柳、张磊、邓晓峰、葛卫东、杨东等全来了,Wind
348,2021-04-30,明星私募一季度调仓：冯柳现身25家公司持仓超300亿 高瓴礼仁新进安图生物、伊利,腾讯网
349,2021-04-29,四成企业一季度净利下滑 火电业务承压倒逼电力企业转型 盈利能力下降,北京商报
350,2021-04-28,解盘：百亿资金流入，钛白粉、白酒、医疗服务领涨,Wind
351,2021-04-28,华能水电计划2185亿布局澜沧江上游水光互补基地！光伏10GW、水电10GW！,国际电力网
352,2021-04-27,云南区域股市周报：6576万融资买入贝泰妮 恩捷股份成云南股市值亚军,每日经济新闻
353,2021-04-27,海通证券研究所早报,新浪
354,2021-04-23,【建投公用环保】华能水电：2020年业绩略降，水风光一体化清洁能源基地已见雏形 盈利能力下降,能源交运万维网
355,2021-04-23,中信证券：华能水电量价回升趋势明确，新一轮装机成长可期,Wind
356,2021-04-23,华能水电拟对澜沧江8个梯级水电站开展前期工作,中国机经网
357,2021-04-22,华能水电：一季度净利润6.01亿元 同比扭亏,中证网
358,2021-04-22,华能水电：变更董事、聘任高级管理人员 董监高成员变化,Wind
359,2021-04-22,华能水电(600025.SH)一季度归母净利6.01亿元,智通财经
360,2021-04-22,华能水电：变更风电、光伏电站项目相关承诺，对已有的项目不再对外转让或处置 承诺失信,Wind
361,2021-04-22,华能水电：董事会免去张之平副总经理职务 董监高成员变化,Wind
362,2021-04-22,华能水电：2020年净利润同比减少12.8% 盈利能力下降,Wind
363,2021-04-20,华能水电(600025.SH)完成发行10亿元2021年度第六期超短期融资券,搜狐
364,2021-04-14,华能水电(600025.SH)完成发行15亿元2021年度第五期超短期融资券,智通财经
365,2021-04-13,A股早报2021年4月13日星期二,Wind
366,2021-04-13,机构大买千亿华能水电涨停 长源电力过强游资错卖,财富动力网
367,2021-04-13,白马股杀跌压制指数，钢铁板块逆势走强,Wind
368,2021-04-12,华能水电龙虎榜数据（4月12日）,Wind
369,2021-04-12,机构今日买入这8股，卖出豫能控股5660万元丨龙虎榜,第一财经
370,2021-04-12,涨停板解密：两类个股逆市仍火热上攻！（4月12日）,Wind
371,2021-04-12,A股收盘综述：上证指数跌逾1%退守3400点,Wind
372,2021-04-12,电力板块持续拉升，机构建议四主线把握投资机遇丨牛熊眼,第一财经
373,2021-04-12,电力行业午后大幅拉升，湖北能源、桂东电力午后打板，另外，华能水电等多股涨停,金融界
374,2021-04-12,电力板块走强，65只个股上涨，华能水电上涨10.07%,每日经济新闻
375,2021-04-12,顺丰重挫8%，手套茅跌13%！电力白酒却火了,Wind
376,2021-04-12,A股午盘综述：上证指数跌0.81%，创业板指跌1.53%,Wind
377,2021-04-11,环保公用行业周报：新能源上网电价征求意见稿发布方案有利于保障运营商合理回报率,新浪
378,2021-04-10,部分光伏、风电项目补贴被取消，电力股整体回调「电力周评榜」,华夏时报
379,2021-04-09,机构首次青睐这些个股 这只个股获强烈推荐,第一财经
380,2021-04-09,华能水电一季度很“风光” 发电量提升带动业绩增长,证券日报网
381,2021-04-08,【东北电力环保】华能水电（600025）动态点评：市场化电价提升，机组折旧陆续到期释放利润,东北证券研究所
382,2021-04-07,天风证券维持华能水电买入评级：Q1发电量同比增长24%，业绩有望扭亏为盈,每日经济新闻
383,2021-04-07,华能水电(600025)；一季度电量实现高增长 水光互补或带来新的成长潜力,新浪
384,2021-04-07,公用事业行业周报：火电转型新能源 高分红+回购企业增加,新浪
385,2021-04-07,券商首次关注3股并给予买入评级（4月7日）,Wind
386,2021-04-07,49股获券商买入评级，领益智造目标涨幅达58.61%,Wind
387,2021-04-06,公用事业行业周报：1-2月31省份全社会用电量同比均为正 福能股份2020年归母净利润同比+20.05%,新浪
388,2021-04-06,公用事业行业周报：电力行业如何碳减排？,新浪
389,2021-04-06,华能水电：一季度发电量同比增长24%,格隆汇
390,2021-04-06,华能水电(600025.SH)一季度完成发电量173.47亿千瓦时 同比增长23.62%,格隆汇
391,2021-04-06,电力板块异动拉升，豫能控股四连板丨牛熊眼,第一财经
392,2021-04-06,东北证券--华能水电:市场化电价提升，机组折旧陆续到期释放利润【公司研究】,金融界股吧
393,2021-04-06,“水风光互补”有望成为水电第二增长动力,郭丽丽的研究札记
394,2021-04-06,公用事业行业：运营商上调十四五风光装机规划 华能获核电运营资质,新浪
395,2021-04-02,公用事业行业：全国碳市场建设加速 新能源发电有望受益,新浪
396,2021-03-31,游资大幅抢筹，电力股掀起涨停潮，机构称仍有上涨空间,第一财经
397,2021-03-29,公用事业行业：“碳中和”助推估值上行 电力股还能再买吗？,新浪
398,2021-03-29,碳中和背景下，云南水电价值有望重估,郭丽丽的研究札记
399,2021-03-28,环保公用行业周报：新能源转型增加系统调峰压力 成本疏导支撑电价,新浪
400,2021-03-26,电力板块再掀涨停潮，“碳中和”的风口还能吹多久?,第一财经
401,2021-03-25,电力板块连续下滑，福能股份、协鑫能科跌停,Wind
402,2021-03-25,【兴业证券晨会聚焦0325】宏观-未来市场展望；固收-2020年中资美元债违约分析；环保公用-华能水电深度；电子-中颖电子深度,兴证研究
403,2021-03-24,华能水电：澜沧江下游电站送广东购售电合同由两省电网公司直接签订购售电合同,每日经济新闻
404,2021-03-24,华能水电：澜沧江上游水电站省内500KV输电价、超高压直流输电价和线损电价费用均不由公司承担,每日经济新闻
405,2021-03-24,华能水电：机组等设备折旧年限为12年,每日经济新闻
406,2021-03-24,华能水电：2019年无形资产核算主要为境外BOT电站项目,每日经济新闻
407,2021-03-24,华能水电：目前电力行业碳配额为火电，不涉及公司水电项目,每日经济新闻
408,2021-03-23,今年首只十倍股：33家游资击鼓传花，成交堪比茅台,Wind
409,2021-03-22,电力行业动态跟踪报告：数说电力(2021年3月刊),新浪
410,2021-03-20,全国碳排放权交易市场架构浮出水面，13家A股企业拼出首份概念股清单,Wind
411,2021-03-19,公用事业深度报告：政策层面如何规划能源行业的下一个五年？,新浪
412,2021-03-19,“碳中和”最强分支！水、火、核电面临价值重构，仍在5年估值低位，机构密切调研,21世纪经济报道
413,2021-03-19,新型电力系统构建下 碳中和概念有哪些股票？,至诚财经
414,2021-03-19,八大券商主题策略：水、火、核价值重估！新型电力系统构建下 关注哪些标的？,中金在线
415,2021-03-19,碳中和下的能源结构及电力行业机会展望：确定成长 龙头集中,新浪
416,2021-03-18,兴论碳中和系列：拥抱能源革命的强主题,新浪
417,2021-03-18,电力板块异动，皖能电力、湖北能源、文山电力、华能水电、大唐发电冲高,Wind
418,2021-03-18,北向资金动向曝光：3月17日这30只个股被猛烈扫货（附名单）,每日经济新闻
419,2021-03-16,1-2月用电及能源生产数据：用电量高增 火电加速回暖,新浪
420,2021-03-16,环保与公用事业行业周报：碳中和催化环保公用板块 加大对新能源发电的金融支持力度,新浪
421,2021-03-16,公用事业行业研究周报：可再生能源补贴新政落地 锂资源价格维持上涨态势,新浪
422,2021-03-16,平安证券--电力行业碳中和系列报告：电力篇，碳中和重构水、火、核价值【行业研究】,金融界股吧
423,2021-03-16,北向资金动向曝光：3月15日这30只个股遭大甩卖（附名单）,每日经济新闻
424,2021-03-15,公用事业行业周报：原地过年拉动二产三产景气度修复 用电保持高增,新浪
425,2021-03-15,A股早报2021年3月15日星期一,Wind
426,2021-03-15,每日理财观察：十四五”规划和2035年远景目标纲要发布,Wind
427,2021-03-14,环保公用行业周报：十四五规划能源要点一览 两会环保提案聚焦水处理和固废,新浪
428,2021-03-12,【天风公用环保 | 日报】国家发改委发布文件 加大对可再生能源的金融支持力度,郭丽丽的研究札记
429,2021-03-12,金融街下午茶2021年3月12日星期五,Wind
430,2021-03-12,主力资金：7天翻倍龙头王者归来 机构曝光4条掘金主线,新浪
431,2021-03-12,“CCER”点石成金，水电板块掀起涨停潮,Wind
432,2021-03-12,涨停板解密：火热继续，公用事业股批量涨停！（3月12日）,Wind
433,2021-03-12,A股主力资金流向：本周累计净流出1439亿，东方财富、比亚迪净流出额居前,Wind
434,2021-03-12,冷板凳也有春天，碳中和渐入佳境公用事业领涨A股,Wind
435,2021-03-12,华能水电(600025.SH)完成发行2021年度第四期超短期融资券,格隆汇
436,2021-03-12,A股收盘综述：上证指数录涨因电力、碳中和板块爆发，周线仍三连跌,Wind
437,2021-03-12,市场风格又变了：千亿巨头连拉2涨停、电茅创新高,Wind
438,2021-03-12,A股午盘综述：上证指数涨0.38%，电力股大面积涨停、碳中和板块飙升,Wind
439,2021-03-12,华能水电连续两日涨停，电力板块持续走升,Wind
440,2021-03-12,A股早报2021年3月12日星期五,Wind
441,2021-03-11,涨停板解密：有色股火爆掀涨停潮！（3月11日）,Wind
442,2021-03-11,市场化改革助推电力板块持续上涨,证券导报
443,2021-03-11,融资客青睐9股，中原高速买入占比高达45.62%,Wind
444,2021-03-08,电力板块突发涨停潮！市场化改革提升定价权，北上资金大幅加仓股曝光,证券时报网
445,2021-03-08,公用事业行业周报：需强水丰 新能源可期,新浪
446,2021-03-04,长江电力(600900)：蛟龙出海 新动能助推水电巨擘,新浪
447,2021-03-02,环保与公用事业行业周报(2021年第8期)：环保展现防御性 综合能源服务进入发展快通道,新浪
448,2021-02-27,环保公用行业周报：火电今年基本面不悲观 长江保护法实施在即,新浪
449,2021-02-23,环保与公用事业行业周报：得州断电聚焦电力结构 大力发展储能或是有效方案,新浪
450,2021-02-21,公用环保行业周报：浅析美国德州“电荒”启示 首批碳中和债券落地,新浪
451,2021-02-19,公用事业行业：南网春节用电农历同比双位数增长 极端天气诱发美国电荒,新浪
452,2021-02-18,电力行业：首批碳中和债发行 绿色金融有望助力实现碳中和,新浪
453,2021-02-08,华能水电1月发电量同比增长24.6%,证券日报网
454,2021-02-08,公用事业2020年年报业绩前瞻：水电普超预期 火电Q4受煤价压制,新浪
455,2021-02-08,公用事业行业周报：从电力行业看就地过年有什么影响,新浪
456,2021-02-05,财富证券--电力行业月度报告：水火延续分化走势，新能源发电维持高景气【行业研究】,金融界股吧
457,2021-02-03,华能水电：变更董事、监事 董监高成员变化,Wind
458,2021-02-01,华能水电：2021年第一次临时股东大会法律意见书,证券之星
459,2021-02-01,川财证券--电力行业周报：水电板块防御性受青睐，头部标的本周逆势上涨【行业研究】,金融界股吧
460,2021-01-27,财信证券电力行业2021年1月月度报告：水火延续分化走势，新能源发电维持高景气,财信证券研究
461,2021-01-26,环保公用行业周报：2020年风光装机大超预期 各省下达水和土壤污染防治资金,新浪
462,2021-01-25,公用事业行业：基金持仓配置环比下滑 逆势加仓个股Α逻辑标的,新浪
463,2021-01-25,公用事业行业：公募四季度重点持仓总结 公用事业遭减持 减持股份,新浪
464,2021-01-22,[公司]华能水电：发行100亿元短期融资券,全景网
465,2021-01-22,电力行业动态跟踪报告：数说电力,新浪
466,2021-01-21,华能水电(600025)当前时点怎么看华能水电：把握新拐点 拥抱确定性,新浪
467,2021-01-20,12月用电数据：单月用电增速17%，达近9年来高点,郭丽丽的研究札记
468,2021-01-20,中国短期融资券及中期票据信用分析周报,新浪
469,2021-01-20,华能水电(600025.SH)成功发行10亿元超短期融资券,格隆汇
470,2021-01-20,公用事业行业12月能源生产数据：火电增速抬升 煤炭进口高增,新浪
471,2021-01-20,电力数据解析系列：极端冷冬恰遇年终赶工 12月发电侧高景气延续,新浪
472,2021-01-19,华能水电(600025.SH)完成发行2021年度第一期超短期融资券,格隆汇
473,2021-01-19,公用事业行业周报：发电行业率先上线碳排放交易 新能源有望持续受益,新浪
474,2021-01-17,公用环保行业周报：2021年多省终端电价较2020上升 气候变化全面融入十四五,新浪
475,2021-01-13,融资客看好8股 买入占成交超三成,证券之星
476,2021-01-13,融资客青睐8股，元力股份买入占比高达51.96%,Wind
477,2021-01-12,公用事业行业周报：碳排放权交易管理办法即将施行 助力清洁能源发展,新浪
478,2021-01-11,【国金晨讯】A股一周策略：春节前后或是分水岭；利率专题：市场交易逻辑未变，但预期差已现；电力行业2021年度策略,国金证券研究所
479,2021-01-07,公用事业行业碳排放权政策点评：碳交易：利好新能源 火电不悲观,新浪
480,2021-01-06,财信证券：十四五开局之年 电力行业将在市场化和清洁化两条主线上继续推进,证券时报网
481,2021-01-05,[公司]华能水电：去年完成发电量975.69亿度,全景网
482,2021-01-05,公用事业行业周报：水电四季度业绩有望正增长 火电预计有所下降,新浪
483,2021-01-04,华能水电(600025.SH)：2020年全年完成发电量975.69亿千瓦时同比减少6.55%,格隆汇
484,2021-01-04,公用环保行业周报：11月用电继续高增长 环保使用者付费机制逐步建立,新浪
485,2020-12-31,电力电气设备、公用事业行业：发电行业碳配额最终方案无修改落地 短期火电盈利影响有限,新浪
486,2020-12-29,国泰君安：短期业绩有支撑，叠加投产高峰来临，继续推荐大水电,Wind
487,2020-12-29,国君煤炭公用 | 大范围降温将至，用电用气均有望高增长,国泰君安证券研究
488,2020-12-28,快讯：电力板块早盘高开 闽东电力等多股涨停,新浪
489,2020-12-25,【研报掘金】经济向好叠加气温偏低预计用电量高增速延续 机构看好这几股,证券时报网
490,2020-12-25,华能水电(600025.SH)：完成发行10亿元超短期融资券,格隆汇
491,2020-12-25,电力板块爆发，闽东电力等逾10股涨停，豫能控股10日九板,证券时报网
492,2020-12-25,“暖风”来了！电力股再掀涨停潮，燃气板块蠢蠢欲动,上证报
493,2020-12-25,"""暖风""来了！电力股再掀涨停潮 燃气板块蠢蠢欲动",上证报
494,2020-12-25,电力股掀涨停潮，两部门鼓励签订中长期电力电子合同丨牛熊眼,第一财经
495,2020-12-25,次新市场周报：次新股指表现持续不佳,新浪
496,2020-12-22,电力行业动态跟踪报告：数说电力(2020年12月刊),新浪
497,2020-12-21,中信证券：限电现象意味着煤电的重要性有望得到重估（附股）,证券时报网
498,2020-12-21,中信证券：软缺电或将频发，煤电价值迎重估,中信证券研究
499,2020-12-21,晨会1221｜在快速轮动中配置跨年后品种,中信证券研究
500,2020-12-19,电力行业动态点评：11月发电量同比增长6.8% 火电增速显着回暖,新浪
501,2020-12-16,公用事业11月用电及能源生产数据：用电增速走高 火电回暖明显,新浪
502,2020-12-15,A股早报2020年12月15日星期二,Wind
503,2020-12-14,公用事业行业报告：白鹤滩送出工程落地 影响几何？,新浪
504,2020-12-14,本周洪峰来袭！45股解禁，8股流通盘增逾1倍 解禁,中证报
505,2020-12-14,顺周期行情熄火？跨年行情还有吗？龙头券商最新研判出炉,中证报
506,2020-12-13,【国君金工】盈利确认将成为新的交易点,辰奥临君
507,2020-12-13,周末大事件对A股有何影响？十大券商最新研判来了,中国基金报
508,2020-12-13,下周操盘攻略：全年第三大解禁周来袭，近期调整无碍跨年行情,Wind
509,2020-12-13,下周洪峰来袭！A股解禁市值超1900亿,Wind
510,2020-12-13,下周洪峰来袭：8股流通盘增逾1倍 成都燃气1300多人持股解禁 解禁,中证报
511,2020-12-13,下周洪峰来袭！A股解禁市值超1900亿，这家公司1300多人持股解禁，8股流通盘增逾1倍（附名单） 解禁,中证报
512,2020-12-13,下周解禁：年内第三大解禁洪流来袭 规模超1700亿元 解禁,金融界
513,2020-12-13,持续爆雷！300亿大牛股面临退市，腾讯或踩雷 风险警示,上游新闻
514,2020-12-13,年内第三大解禁洪流来袭：13倍科技牛股赫然在列 5股解禁比例超50% 解禁,金融界
515,2020-12-13,300亿大牛股面临退市，腾讯或踩雷！年内第三大解禁洪流来袭，13倍科技牛股在列（附股） 投资失误,证券时报网
516,2020-12-13,下周股市两大看点水皮:砸盘、砸盘、砸盘,中财网
517,2020-12-11,华能水电(600025.SH)：完成发行20亿元超短期融资券,格隆汇
518,2020-12-11,融资客看好10股 买入占成交超三成,证券之星
519,2020-12-11,近一周将有32家上市公司解禁，解禁市值1905.08亿元 解禁,21世纪经济报道
520,2020-12-09,华能水电(600025.SH)：90.72亿股限售股将解禁 解禁,格隆汇
521,2020-12-09,华能水电：占总股本50.40%限售股将于12月15日上市流通 解禁,Wind
522,2020-12-09,中国短期融资券及中期票据信用分析周报,新浪
523,2020-12-08,环保与公用事业行业周报：《关于进一步推进生活垃圾分类工作的若干意见》落地 生活垃圾分类工作稳步推进,新浪
524,2020-12-07,融资买入量占成交量58.99%兰生股份登陆龙虎榜,证券时报网
525,2020-12-07,公用事业周报：中俄东线中段正式运营 关注冷冬行情,光大证券
526,2020-12-06,中信建投2021年公用事业投资策略展望：“十四五”发用电保持平稳，新能源装机快速提升,中信建投证券研究
527,2020-12-01,12月迎5000亿解禁“小高峰” 什么样的股票最易被股东“脚投票” 解禁,红周刊
528,2020-12-01,2021年公用事业新能源：多能互补 开启碳中和征程,新浪
529,2020-12-01,环保及公用事业行业周报：2021年洋垃圾全面禁止进口 深圳天然气交易中心挂牌成立进一步探索天然气交易机制,新浪
530,2020-12-01,电力行业月度报告（2020年11月）：电力供需情况持续改善，密切关注年底电力市场长协交易,财信证券研究
531,2020-11-27,A股收盘综述：上证指数涨逾1%，上证50创2008年3月以来新高,Wind
532,2020-11-27,A股午盘综述：上证指数跌0.05%，周期股连续回调,Wind
533,2020-11-26,北向资金半日流入40亿：白酒股资金分化 电力股获加仓,新浪
534,2020-11-26,电力板块大涨，11月用电增速有望增长，细分领域如何布局,第一财经
535,2020-11-26,电力行业2020年10月电力统计数据点评：用电需求高增延续 秋汛大发挤压火、核出力,新浪
536,2020-11-26,中信证券：预计11月用电增速有望维持中高单位数增长,证券时报网
537,2020-11-24,机构看中这些股 近五日大手笔净买入,证券之星
538,2020-11-24,环保与公用事业行业周报：大气治理区域扩围推进 冷冬拉动天然气产销两旺,新浪
539,2020-11-24,国君煤炭公用 | 公用事业2021年投资策略：水电喜迎投产盛宴，碳中和承诺下风光大有可为,国泰君安证券研究
540,2020-11-24,国君煤炭公用 | 公用事业2021年投资策略：碳中和承诺下风光大有可为、水电喜迎投产盛宴,国泰君安证券研究
541,2020-11-24,顺周期板块爆发，北上资金百亿抢筹，后市大概率上涨？,Wind
542,2020-11-23,电力电气设备、公用事业：发电行业碳配额全国统一方案发布 鼓励清洁发电收紧煤电配额,新浪
543,2020-11-23,机构近期抢筹这27股 你跟吗?,证券之星
544,2020-11-20,数说电力：2020年11月刊,新浪
545,2020-11-20,掘金龙虎榜 26股近期获机构净买入,证券之星
546,2020-11-20,电力行业月度报告（2020年10月）：电力消费持续复苏，发电增速加快,财信证券研究
547,2020-11-19,华能水电龙虎榜数据（11月19日）,Wind
548,2020-11-17,公用事业10月用电及能源生产数据：水电维持高增，煤炭生产增速转正，维持“强于大市”评级,天风证券
549,2020-11-16,机构五日抢筹15股 主力资金大量流入,证券之星
550,2020-11-14,环保公用行业周报：龙头标的业绩普遍亮眼 危废转移管理办法修订,新浪
551,2020-11-11,主要水电上市公司三季报陆续发布：来水偏丰业绩回正 拓展市场多元发展,中国能源报
552,2020-11-11,杠杆资金大幅加仓股曝光！华能水电买入占比高达61.20%,e公司
553,2020-11-11,五日龙虎榜追踪 机构抢筹这38股,证券之星
554,2020-11-09,华能水电、三峡资本等共同成立股权投资合伙企业,企查查
555,2020-11-09,Q3板块基金持仓分析：环保、水电重仓比例回温,郭丽丽的研究札记
556,2020-11-06,公用事业行业Q3持仓深度：煤价分歧促成火电持仓分化 汛情优异弹性标的获资金增持,新浪
557,2020-11-06,公用事业行业3Q20业绩总结与展望：环保改善 电力回暖 检测复苏,新浪
558,2020-11-04,环保公用2020三季报总结：环卫&固废板块指数领涨 9M20环卫&火电业绩增速超30%,新浪
559,2020-11-03,【兴业证券晨会聚焦1103】医药-疫情影响逐渐消退，关注高成长大龙头+细分冠军；环保公用/建筑-2020三季报总结,兴证研究
560,2020-11-01,环保公用三季报总结：持续修复，重回增长,郭丽丽的研究札记
561,2020-11-01,华能水电(600025)：汛期来水偏丰电量增加 Q3业绩显着改善,新浪
562,2020-10-29,【建投公用环保】华能水电：汛期来水偏丰提振电量，营收利润增速首度转正,能源交运万维网
563,2020-10-29,【财报智读】华能水电：2020年前三季度归母净利润43.47亿元，同比下降10.65% 盈利能力下降,面包财经
564,2020-10-29,【面包财报】华能水电：2020年前三季度归母净利润43.47亿元，同比下降10.65% 盈利能力下降,面包财经
565,2020-10-29,华能水电：拐点清晰，Q3单季业绩同比高增44%,郭丽丽的研究札记
566,2020-10-28,华能水电：前三季度净利润同比减少10.65%,Wind
567,2020-10-28,【研报掘金】年底前用电需求料持续修复 低估值高股息率下板块配置吸引力凸显,证券时报网
568,2020-10-28,华能水电(600025.SH)前三季度净利润降10.65%至43.47亿元 盈利能力下降,格隆汇
569,2020-10-26,环保及公用事业行业周报：生物质政策落地聚焦优质项目和后起龙头 省级大气与水治理攻坚持续推进,新浪
570,2020-10-26,川投能源(600674)：3Q雅砻江来水弱于同业 业绩基本符合预期,新浪
571,2020-10-25,建议关注可再生能源板块投资逻辑演绎,郭丽丽的研究札记
572,2020-10-21,电力行业动态点评：9月发电量同比增长5.3% 水电增速强劲,新浪
573,2020-10-21,中国短期融资券及中期票据信用分析周报,新浪
574,2020-10-21,华能水电(600025.SH)完成发行2020年度第十四期超短期融资券,格隆汇
575,2020-10-20,9月能源生产：水电同比高增23%，煤炭进口降幅扩大,郭丽丽的研究札记
576,2020-10-19,环保公用行业周报：燃气板块景气度向上 各地集中出台水环境保护措施,新浪
577,2020-10-19,环保及公用事业行业周报：降温叠加大气治理拉升燃气需求 垃圾焚烧和生物质补贴目录出台龙头发展明方向,新浪
578,2020-10-18,9月用电数据：需求维持景气,郭丽丽的研究札记
579,2020-10-18,公用事业行业周报(第四十二周),新浪
580,2020-10-16,华能水电：“托巴水电站”电价目前尚未确定,Wind
581,2020-10-15,华能水电(600025.SH)：完成发行20亿元超短期融资券,格隆汇
582,2020-10-15,华能水电：前三季度完成发电量720.93亿千瓦时 同比减少11.95%,北极星电力
583,2020-10-15,电力行业月度报告（2020年9月）：受益“十四五”规划，新能源迎来发展新机遇,财信证券研究
584,2020-10-14,中国短期融资券及中期票据信用分析周报,新浪
585,2020-10-13,公用事业2020年三季报业绩前瞻：火电继续强势修复 水电汛期发力逻辑兑现,新浪
586,2020-10-12,【天风公用环保 | 日报】广东进一步清理规范转供电环节加价,郭丽丽的研究札记
587,2020-10-10,华能水电(600025)公司点评：Q3发电量同比高增24% 拐点或已确立,新浪
588,2020-10-09,华能水电(600025.SH)前三季度完成发电量720.93亿千瓦时同比减少11.95%,格隆汇
589,2020-10-09,华能水电：前三季度完成发电量同比减少11.95%,Wind
590,2020-10-09,华能水电：2020年前三季度完成发电量720.93亿千瓦时同比减少11.95%,格隆汇
591,2020-09-30,【天风公用环保 | 日报】8月天然气表观消费量同比增长3.9%,郭丽丽的研究札记
592,2020-09-29,59家私募被注销：有21亿未兑付、3000多人中招,中国基金报
593,2020-09-28,公用事业周报：长江电力GDR 发行落地 燃气改革进展显著,光大证券
594,2020-09-23,中信证券：用电增速创年内新高 火电出力复归增长（附股）,证券时报网
595,2020-09-21,环保与公用事业行业周报：生物质发电行业平稳过渡中龙头受益 多地再出水和固废防治建设文件,新浪
596,2020-09-17,华能水电(600025.SH)：拟发行不超20亿元可续期公司债券,格隆汇
597,2020-09-16,8月用电及能源生产数据点评：发用电累计增速转正,郭丽丽的研究札记
598,2020-09-16,2020年8月电量数据点评：电量累计增速转正 看好水电三季度表现,光大证券
599,2020-09-14,电力股午后稳步上升，长江电力、国投电力、华能水电普涨,Wind
600,2020-09-13,重视新能源运营商投资机会,郭丽丽的研究札记
601,2020-09-11,华能水电(600025)：来水严重偏枯拖累业绩 供需趋紧致电价回升 盈利能力下降,新浪
602,2020-09-10,61股筹码连续3期集中 东岳硅材连降16期,证券时报
603,2020-09-09,主要水电上市公司发布半年报：水“枯”影响业绩 整体发展稳健,中国能源报
604,2020-09-09,半年报：火电受益燃料不贵，水电受枯水拖累,中国能源报
605,2020-09-07,公用事业行业周报：三代核电再获核准 核电运营商有望受益,新浪
606,2020-09-06,环保行业的再融资热度如何？,郭丽丽的研究札记
607,2020-09-03,筹码连续集中股名单 中天精装股东数减少28.94%,证券时报
608,2020-09-01,中报总结：复苏主线，景气攀升,郭丽丽的研究札记
609,2020-09-01,公用事业行业2020年中报回顾：煤价下行火电业绩增长 来水偏枯水电盈利下滑 盈利能力下降,新浪
610,2020-09-01,融资客青睐13股，江苏阳光买入占比高达37.85%,Wind
611,2020-09-01,电力行业周报：《2019年中国风电产业地图》发布,新浪
612,2020-08-28,华能水电：二季度业绩受来水拖累 但经营现金流保持稳健 盈利能力下降,北极星电力
613,2020-08-27,【建投公用环保】华能水电：蓄水较差叠加来水偏枯拖累业绩，汛期来水持续向好 盈利能力下降,能源交运万维网
614,2020-08-27,华能水电(600025)2020年中报点评：来水偏枯业绩触底 汛期大发拐点来临,新浪
615,2020-08-27,华能水电：短期业绩承压符合预期，长期拐点趋势明晰,郭丽丽的研究札记
